"","h","MPASize","mpa_yield","mpa_prop_msy"
"54",0.16,20,7870.74161683142,0.442277273463461
"55",0.17,1,23351.1588730265,0.996610435354646
"56",0.17,2,21460.8408122421,0.970451077461783
"57",0.17,5,13502.9176812318,0.669286923569419
"58",0.17,10,8329.14999164318,0.425622023843091
"59",0.17,15,6535.93794491567,0.337069600228898
"60",0.17,20,6291.47301074307,0.353534096877213
"61",0.18,1,23202.4339989747,0.990262966165524
"62",0.18,2,21126.353638393,0.955325694393202
"63",0.18,5,12414.2309152458,0.615324970046568
"64",0.18,10,7116.51328811641,0.363655930248989
"65",0.18,15,5287.22297520657,0.272671214077281
"66",0.18,20,5152.88287706248,0.289553780354083
"67",0.01,1,4139.21842647593,0.176658824534968
"68",0.01,2,4141.55026746742,0.187279331438552
"69",0.01,5,4144.93367087058,0.205448183160604
"70",0.01,10,4146.57045411988,0.211890974524556
"71",0.01,15,4147.14188263494,0.213875264461421
"72",0.01,20,3801.45079152703,0.213613325545673
"73",0.19,1,22995.6546595579,0.981437774722175
"74",0.19,2,20763.5036113381,0.938917753865932
"75",0.19,5,11553.2015399507,0.572647104766004
"76",0.19,10,6278.88284258599,0.320852767163086
"77",0.19,15,4462.71481728055,0.230149905350079
"78",0.19,20,4394.92382674088,0.246962106215485
"79",0.2,1,22741.1410643793,0.970575320045991
"80",0.2,2,20387.6826975868,0.921923274764509
"81",0.2,5,10898.3893571831,0.540190620792214
"82",0.2,10,5734.55879644138,0.293037647687632
"83",0.2,15,3956.9657091169,0.20406755096704
"84",0.2,20,3924.90247230984,0.220550393923619
"85",0.21,1,22448.2543906371,0.958075130354551
"86",0.21,2,20011.2517131182,0.904901208496762
"87",0.21,5,10414.8462274384,0.516223275262901
"88",0.21,10,5388.46317307309,0.275352059145099
"89",0.21,15,3655.65498690561,0.188528436988847
"90",0.21,20,3641.24042452884,0.20461069177289
"91",0.22,1,22125.3765290851,0.944294938633984
"92",0.22,2,19643.600908907,0.888276178648308
"93",0.22,5,10060.7859252446,0.498673888085438
"94",0.22,10,5165.21267299435,0.263943892673991
"95",0.22,15,3473.78491691474,0.17914908358891
"96",0.22,20,3467.63055247697,0.194855105248077
"97",0.23,1,21779.9095711759,0.929550660750618
"98",0.23,2,19291.3575683287,0.872347868458432
"99",0.23,5,9798.78588051259,0.485687568531889
"100",0.23,10,5015.49446895222,0.256293248241546
"101",0.23,15,3359.10992506995,0.173235096341304
"102",0.23,20,3356.67170485564,0.188620041389843
"103",0.24,1,21418.2995029424,0.914117406688564
"104",0.24,2,18958.7261853449,0.857306403548534
"105",0.24,5,9600.34336717579,0.475851547725721
"106",0.24,10,4909.69965993191,0.250887102263565
"107",0.24,15,3282.14678514767,0.169265974384425
"108",0.24,20,3281.31723323391,0.184385679257961
"109",0.25,1,21046.0828536068,0.898231471478338
"110",0.25,2,18647.9256364926,0.843252120673589
"111",0.25,5,9445.47609470737,0.46817538152232
"112",0.25,10,4830.62081312157,0.246846149842686
"113",0.25,15,3226.72582845381,0.166407819996403
"114",0.25,20,3226.57215375168,0.181309412030847
"115",0.02,1,7658.12686284664,0.326843270960689
"116",0.02,2,7663.57730439431,0.346544057491853
"117",0.02,5,7671.73613751123,0.380258015276801
"118",0.02,10,7675.79287454916,0.392235282248949
"119",0.02,15,7677.21158732573,0.395927051698153
"120",0.02,20,7037.20553236497,0.395438730830722
"121",0.03,1,10648.2999285407,0.454461677267256
"122",0.03,2,10652.3768228419,0.48169643751138
"123",0.03,5,10658.8999182243,0.528320064101278
"124",0.03,10,10662.5040465771,0.544857104997817
"125",0.03,15,10663.7738835961,0.549949223840355
"126",0.03,20,9774.9117729048,0.549277506203621
"127",0.04,1,13184.4142738449,0.562701188442112
"128",0.04,2,13177.9706431691,0.595902831641531
"129",0.04,5,13168.5433557038,0.652713293415079
"130",0.04,10,13164.9959569166,0.672735180503519
"131",0.04,15,13163.7890051916,0.678879318450253
"132",0.04,20,12067.0062540716,0.678076207393765
"133",0.05,1,15328.0302172345,0.65418915399411
"134",0.05,2,15297.8020452323,0.691760803198547
"135",0.05,5,15249.4923221973,0.755857811123665
"136",0.05,10,15227.6758795342,0.778138733577464
"137",0.05,15,15220.1244755312,0.784928087695845
"138",0.05,20,13953.0422817306,0.784057436682637
"139",0.06,1,17130.4096018628,0.731113392013987
"140",0.06,2,17059.4956018415,0.771423917292084
"141",0.06,5,16939.2712647941,0.839613557600216
"142",0.06,10,16882.4394916463,0.862697642742949
"143",0.06,15,16862.7101184736,0.869639064249565
"144",0.06,20,15460.78504157,0.868781391472363
"145",0.07,1,18634.6412098011,0.795312900304485
"146",0.07,2,18502.9542450947,0.836696569369048
"147",0.07,5,18265.1423184911,0.905331810464338
"148",0.07,10,18148.6848830277,0.927403156114958
"149",0.07,15,18108.1861867756,0.933870414665581
"150",0.07,20,16605.9503458713,0.933131183792852
"151",0.08,1,19877.2658647273,0.848347214578237
"152",0.08,2,19662.0023505427,0.889108284856003
"153",0.08,5,19244.2257643423,0.953861155222346
"154",0.08,10,19031.5872145534,0.972519725942226
"155",0.08,15,18957.5068031495,0.977671344698892
"156",0.08,20,17390.1201975849,0.97719571047055
