"","h","K","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"187",0.17,0.7,76.2968873879016,5607.56188661029,0.00567541171655858,0.487433562021702
"188",0.17,0.8,365.89481070129,7611.62716333077,0.0217334073425899,0.530480936853644
"189",0.17,0.9,1348.03552428676,10221.4792388129,0.0662590533663323,0.593177620401201
"190",0.17,1,3671.80265456241,13502.9176812318,0.153515407639713,0.669286923569419
"191",0.18,0.2,5.16904658535701e-16,4.1352372798065e-16,0.000101191403713495,0.000101191403994968
"192",0.18,1.1,4783.03429216418,15899.9134668732,0.174078960899859,0.687420360728189
"193",0.18,1.2,9107.43665990328,19874.6534691967,0.293835638056158,0.762206167779377
"194",0.18,1.3,14952.4290698323,24053.7782563654,0.431440298879663,0.829159782696792
"195",0.18,1.4,21981.9053055337,28136.6523553214,0.575161180727205,0.879098367042795
"196",0.18,1.5,28949.3141137444,32026.5701676934,0.691505457071681,0.916307676159802
"197",0.18,1.6,35262.397494108,35730.9169644231,0.776173718834411,0.941827862530131
"198",0.18,1.7,41006.9246221573,39274.6405943966,0.835426991090902,0.960570101809481
"199",0.18,1.8,46298.4654999445,42684.6741202379,0.879436799743257,0.973003250667284
"200",0.18,1.9,51213.7478152838,45986.1861141026,0.909946715704759,0.982693515474118
"201",0.18,2,55829.8065488409,49200.7884999518,0.932297749352995,0.988283572973342
"202",0.18,0.3,0.0196347791741024,402.512541269184,1.24105560959998e-05,0.287262130396781
"203",0.18,0.4,0.166074967316286,1467.70349287456,4.11618100338475e-05,0.406013491831698
"204",0.18,0.5,1.01639623581752,2655.38624217333,0.000146861419412373,0.43613278608748
"205",0.18,0.6,5.736353838,3961.726547,0.000566713233836081,0.454257072675088
"206",0.18,0.7,31.9034049808775,5456.25212351405,0.00237316310829342,0.474281062185585
"207",0.18,0.8,160.167362928446,7256.61074754138,0.00951361549741726,0.505738600319656
"208",0.18,0.9,647.767633277067,9531.8970057214,0.0318392723403911,0.553159464658836
"209",0.18,1,2020.1551550625,12414.2309152458,0.0844612228109646,0.615324970046568
"210",0.01,0.2,5.00998868782889e-12,4.00799095027126e-12,0.980776202223223,0.980776202220857
"211",0.01,1.1,5674.35302461796,4535.34714543681,0.20651858589488,0.196082197380464
"212",0.01,1.2,6159.29489972028,4922.56625868238,0.198718960605384,0.188783687196636
"213",0.01,1.3,6641.33033473434,5307.4927931337,0.191630238217107,0.182955023702147
"214",0.01,1.4,7121.30898002709,5690.79818499166,0.186330548892162,0.177802651446206
"215",0.01,1.5,7599.87433135139,6072.99165273077,0.18153641058782,0.173753506526434
"216",0.01,1.6,8077.51976946089,6454.46400970666,0.177797285606247,0.170132606674843
"217",0.01,1.7,8554.62623457669,6835.5172115454,0.174281922404834,0.167181503495449
"218",0.01,1.8,9031.4885807144,7216.38507906084,0.171552627685917,0.164498529852052
"219",0.01,1.9,9508.33463208343,7597.2483151632,0.168940533340622,0.162348028519547
"220",0.01,2,9985.33935113704,7978.24569007535,0.166744432392883,0.160256967358451
"221",0.01,0.3,1175.68758171814,963.145451901939,0.743116923032586,0.687370419622011
"222",0.01,0.4,1966.15398239641,1580.5994605935,0.487312796314231,0.437244109112244
"223",0.01,0.5,2583.23850873237,2069.81466946854,0.373258047111905,0.339955831714039
"224",0.01,0.6,3143.077068,2515.481777,0.310514905409555,0.288428637068057
"225",0.01,0.7,3674.26846071719,2938.97943374599,0.273313722035831,0.255468819259933
"226",0.01,0.8,4188.20365529747,3349.00334370392,0.248770776223482,0.233403764158704
"227",0.01,0.9,4690.73820276681,3750.08134838871,0.230560595255132,0.217626458810524
"228",0.01,1,5185.36142409103,4144.93367087058,0.216796202756012,0.205448183160604
"229",0.19,0.2,2.5331606758987e-16,2.02652855077899e-16,4.95902059293032e-05,4.95902061752569e-05
"230",0.19,1.1,2764.06143778048,14650.5876613758,0.100598263269922,0.633406733693592
"231",0.19,1.2,5865.2711298621,18281.9456900047,0.189232793943329,0.701124766050696
"232",0.19,1.3,10418.2088928757,22318.4326550284,0.300609027305251,0.769340540731025
"233",0.19,1.4,16372.4352437992,26490.8761694058,0.428388215457951,0.827677923015356
"234",0.19,1.5,23420.6892126938,30555.676588603,0.559444494447224,0.874224147693358
"235",0.19,1.6,30441.1317170661,34442.4150933221,0.670051048409606,0.907864363515162
"236",0.19,1.7,36845.0978268129,38159.5614931087,0.75063881277437,0.933297754319112
"237",0.19,1.8,42693.3766094044,41728.7467709189,0.810958335015514,0.951212750037735
"238",0.19,1.9,48103.6762032501,45172.882946406,0.854688126562176,0.965313780024282
"239",0.19,2,53147.1319753989,48513.4323929807,0.88749996799442,0.974476827796827
"240",0.19,0.3,0.00966541287583734,398.541384868221,6.10921811867341e-06,0.284428025292173
"241",0.19,0.4,0.0788780417279715,1464.88945029404,1.95499840940223e-05,0.405235038104616
"242",0.19,0.5,0.468237736525349,2643.91372243572,6.76567427005856e-05,0.434248486953463
"243",0.19,0.6,2.523396556,3922.192164,0.000249294632598916,0.449724005367554
"244",0.19,0.7,13.3769921838324,5350.67767323255,0.000995059441762674,0.465104073790312
"245",0.19,0.8,68.1489666362451,7009.92135719822,0.00404790996910649,0.488545953321451
"246",0.19,0.9,295.236879795347,9028.32354722289,0.0145115731904911,0.52393585633069
"247",0.19,1,1022.02127634166,11553.2015399507,0.0427299687958714,0.572647104766004
"248",0.2,0.2,1.22784985609736e-16,9.82279893804342e-17,2.40368989592543e-05,2.40368991775824e-05
"249",0.2,1.1,1467.72532230584,13635.5551932478,0.0534179943915486,0.589522596409127
"250",0.2,1.2,3524.08715921258,16894.3060258321,0.113698556208651,0.647907862806223
"251",0.2,1.3,6867.83640238055,20623.3944912457,0.198165888382504,0.710910739783937
"252",0.2,1.4,11552.0717869417,24687.1032055841,0.302262390655927,0.771321045623305
"253",0.2,1.5,17532.8859044233,28841.9328728986,0.418803921691798,0.825192468264425
"254",0.2,1.6,24547.1070529088,32888.4616885931,0.54031548396748,0.866903852619106
"255",0.2,1.7,31617.3727747626,36771.331482791,0.644135273415432,0.899344744892055
"256",0.2,1.8,38119.9131721798,40498.5196660657,0.724085649159858,0.92316954725471
"257",0.2,1.9,44074.062022308,44088.745596825,0.783091448991718,0.942146502340651
"258",0.2,2,49598.9346564797,47561.6600636299,0.828248887269381,0.95535882202932
"259",0.2,0.3,0.00476686731451497,394.933223723999,3.01299412050455e-06,0.28185297991884
"260",0.2,0.4,0.0376068645611356,1462.74969546059,9.32089067996641e-06,0.404643113825761
"261",0.2,0.5,0.217376976154648,2635.32180073017,3.14092970247607e-05,0.432837310420357
"262",0.2,0.6,1.131606071,3892.587304,0.000111795079947255,0.446329470969227
"263",0.2,0.7,5.70411320818209,5274.13107690795,0.000424305525986983,0.458450312162424
"264",0.2,0.8,28.5328250187868,6835.68995912814,0.00169479175607764,0.476403157399601
"265",0.2,0.9,129.65659227555,8668.04928617549,0.00637292038088379,0.503028253442018
"266",0.2,1,486.136745757161,10898.3893571831,0.0203250249848866,0.540190620792214
"267",0.21,0.2,5.88642930624813e-17,4.70914352533742e-17,1.15235185932913e-05,1.15235187898336e-05
"268",0.21,1.1,727.999527635648,12837.8594212447,0.0264956079269631,0.555034841712588
"269",0.21,1.2,1953.25515707948,15744.2209493486,0.0630183878075992,0.603801335860968
"270",0.21,1.3,4253.93498525153,19118.7389159371,0.122743868095283,0.659043632813902
"271",0.21,1.4,7755.01663851745,22907.1059537322,0.202911643207105,0.715707013872732
"272",0.21,1.5,12488.7099978029,26973.7558518169,0.298314878250128,0.771742319344973
"273",0.21,1.6,18425.3063526068,31104.2106505289,0.405566256655002,0.819872948176592
"274",0.21,1.7,25351.9972288711,35131.9223526164,0.516491859806931,0.85924845448058
"275",0.21,1.8,32457.7602446874,39009.5659530125,0.616533366455871,0.889228634438721
"276",0.21,1.9,39064.8516876373,42743.7134093644,0.694089673360143,0.913404079443438
"277",0.21,2,45129.2604305008,46350.5282032748,0.75361013283315,0.931031128128748
"278",0.21,0.3,0.00235307120201936,391.630655338066,1.48730586127806e-06,0.279496027692375
"279",0.21,0.4,0.017988533894574,1461.06483545547,4.45847214014939e-06,0.404177027932222
"280",0.21,0.5,0.10140061197215,2628.67569595336,1.46516066064877e-05,0.431745723762679
"281",0.21,0.6,0.51438206,3869.577187,5.08174929375522e-05,0.443691098969967
"282",0.21,0.7,2.48705404673514,5216.3273100942,0.000185001723658694,0.453425758439071
"283",0.21,0.8,11.9548986383734,6708.84481317326,0.000710096656875671,0.467562875234225
"284",0.21,0.9,55.3603063250867,8409.4628011338,0.0027210866665485,0.488021842698405
"285",0.21,1,221.405883219407,10414.8462274384,0.00925681950091313,0.516223275262901
"286",0.22,0.2,2.7909909239692e-17,2.23279281238167e-17,5.46375979949815e-06,5.4637599786135e-06
"287",0.22,1.1,343.990240298039,12230.3253747275,0.0125195555651517,0.528768580938174
"288",0.22,1.2,1007.6048725683,14817.877159343,0.0325086225351519,0.568275435934174
"289",0.22,1.3,2444.67511327926,17852.0798492184,0.0705391315759444,0.615380523205188
"290",0.22,1.4,4919.21270673081,21304.8399744003,0.128712236238199,0.665645997792669
"291",0.22,1.5,8504.03241557263,25122.2357494021,0.203133822078741,0.718768739173148
"292",0.22,1.6,13219.2793889729,29174.6670825669,0.290974464948522,0.769012291673377
"293",0.22,1.7,19050.5323308686,33275.9273069548,0.388113204062564,0.813854955698992
"294",0.22,1.8,25836.6254463774,37283.7391675908,0.490765275984246,0.8498881660642
"295",0.22,1.9,32944.5042359632,41154.3201128946,0.585345629032249,0.879439825871648
"296",0.22,2,39657.5013003831,44892.1823890517,0.662237637792392,0.901737711176446
"297",0.22,0.3,0.00116155375415617,388.589205878517,7.34183353764826e-07,0.277325428862115
"298",0.22,0.4,0.00862880258459471,1459.68985020396,2.13865544305803e-06,0.40379666325646
"299",0.22,0.5,0.0474426124512921,2623.37555250347,6.85509170508067e-06,0.430875203951756
"300",0.22,0.6,0.23578074,3851.099496,2.32935536083059e-05,0.441572421235934
"301",0.22,0.7,1.10601371004949,5170.98912913582,8.2271811912535e-05,0.44948476741891
"302",0.22,0.8,5.08887987794468,6613.02701267647,0.000302269111422768,0.460884997366052
"303",0.22,0.9,23.2440265331914,8220.02370584581,0.00114249748375589,0.477028225323809
"304",0.22,1,97.4906249464493,10060.7859252446,0.0040760123671429,0.498673888085438
"305",0.23,0.2,1.30865357730877e-17,1.04692292927026e-17,2.56187461799428e-06,2.56187478297107e-06
"306",0.23,1.1,156.708795014742,11775.4601429863,0.0057034306119708,0.509102837326568
"307",0.23,1.2,493.23985779799,14092.8458976987,0.0159135280038654,0.540470005247564
"308",0.23,1.3,1306.77683015903,16813.1569298868,0.037705993022253,0.579567725196885
"309",0.23,1.4,2912.19670021127,19939.1011591986,0.0761982398396433,0.622975009535471
