"","h","Disp","mpa_yield","mpa_prop_msy"
"77",0.17,1.25,15768.447006807,0.766753433051534
"78",0.17,1.5,17400.2091581982,0.840751616386995
"79",0.17,1.75,20063.128835108,0.927565949651246
"80",0.17,2,21170.7553577236,0.960320475832942
"81",0.18,0.25,3962.53740593344,0.206036476279862
"82",0.18,0.5,7345.806303,0.383593822678432
"83",0.18,0.75,9054.98278720995,0.46444085435302
"84",0.18,1,12414.2309152458,0.615324970046568
"85",0.18,1.25,14805.4679232148,0.719927799684951
"86",0.18,1.5,16661.672892823,0.805066668394168
"87",0.18,1.75,19517.1774463588,0.902325324296619
"88",0.18,2,20783.9885064521,0.942776457191493
"89",0.01,0.25,4101.87409332465,0.213281440086035
"90",0.01,0.5,4151.038437,0.216764863713278
"91",0.01,0.75,4177.45453378794,0.214266619637737
"92",0.01,1,4144.93367087058,0.205448183160604
"93",0.01,1.25,4138.0306310193,0.201215071530937
"94",0.01,1.5,4153.62073061481,0.20069663021709
"95",0.01,1.75,4116.00497215294,0.190292655355106
"96",0.01,2,4115.3708699206,0.186676140990376
"97",0.19,0.25,3359.84177496487,0.174698656253711
"98",0.19,0.5,6632.028143,0.346320733565402
"99",0.19,0.75,8455.64212979542,0.433699958039967
"100",0.19,1,11553.2015399507,0.572647104766004
"101",0.19,1.25,13992.7510971684,0.680408789588344
"102",0.19,1.5,16014.1827733935,0.773780931564478
"103",0.19,1.75,18972.3032317603,0.877134499253412
"104",0.19,2,20380.2869532398,0.924464268461113
"105",0.2,0.25,2995.38568043388,0.155748362090319
"106",0.2,0.5,6081.300463,0.317562047682309
"107",0.2,0.75,8036.42093924496,0.412197603758613
"108",0.2,1,10898.3893571831,0.540190620792214
"109",0.2,1.25,13334.04763158,0.648378803161347
"110",0.2,1.5,15462.5735345806,0.747128012916805
"111",0.2,1.75,18451.7945506468,0.853070150513652
"112",0.2,2,19977.712158355,0.906203190287486
"113",0.21,0.25,2771.78007097153,0.144121743302809
"114",0.21,0.5,5637.785347,0.294401940847933
"115",0.21,0.75,7734.4816163266,0.396710776185948
"116",0.21,1,10414.8462274384,0.516223275262901
"117",0.21,1.25,12814.1710325355,0.623099384908652
"118",0.21,1.5,14997.7925288322,0.724670502303214
"119",0.21,1.75,17971.8964646264,0.830883325739024
"120",0.21,2,19589.5499786118,0.888595878557093
"121",0.22,0.25,2627.57770774762,0.136623783347808
"122",0.22,0.5,5277.780432,0.275602689161774
"123",0.22,0.75,7510.62711321842,0.385229012043758
"124",0.22,1,10060.7859252446,0.498673888085438
"125",0.22,1.25,12408.4120829266,0.603369029251579
"126",0.22,1.5,14605.984847494,0.705738951630288
"127",0.22,1.75,17541.3997420517,0.81098044296443
"128",0.22,2,19224.5964168914,0.872041326198128
"129",0.23,0.25,2527.90708559362,0.131441300086835
"130",0.23,0.5,5003.376309,0.261273462095535
"131",0.23,0.75,7340.21417519229,0.376488329439539
"132",0.23,1,9798.78588051259,0.485687568531889
"133",0.23,1.25,12090.7903371865,0.587924416104012
"134",0.23,1.5,14273.7458844632,0.689685670738359
"135",0.23,1.75,17162.5372427046,0.793464732584342
"136",0.23,2,18887.7505124628,0.856761757105888
"137",0.24,0.25,2454.25885407718,0.127611879553625
"138",0.24,0.5,4808.034184,0.251072807549516
"139",0.24,0.75,7207.57372038829,0.369685042498126
"140",0.24,1,9600.34336717579,0.475851547725721
"141",0.24,1.25,11839.2416266475,0.575692657497588
"142",0.24,1.5,13990.3017363897,0.675990081019775
"143",0.24,1.75,16832.9364858261,0.778226509195934
"144",0.24,2,18580.8295291747,0.842839603657225
"145",0.25,0.25,2396.85529212478,0.124627118422317
"146",0.25,0.5,4671.215895,0.243928234397839
"147",0.25,0.75,7102.42217113938,0.364291694270155
"148",0.25,1,9445.47609470737,0.46817538152232
"149",0.25,1.25,11636.7782837485,0.565847714418039
"150",0.25,1.5,13747.6990727149,0.664267889650122
"151",0.25,1.75,16547.6740450693,0.76503815114196
"152",0.25,2,18303.4611236915,0.830257976094395
"153",0.02,0.25,7594.988463411,0.394909751020705
"154",0.02,0.5,7680.500414,0.401071358590864
"155",0.02,0.75,7730.96503529974,0.396530406555779
"156",0.02,1,7671.73613751123,0.380258015276801
"157",0.02,1.25,7655.91265366534,0.372274917612781
"158",0.02,1.5,7684.23084244723,0.371290335808084
"159",0.02,1.75,7621.55803092437,0.35236267338351
"160",0.02,2,7619.95510709952,0.345646567192787
"161",0.03,0.25,10553.8107924737,0.548756961574581
"162",0.03,0.5,10661.36236,0.556730272204722
"163",0.03,0.75,10736.6445658618,0.550695290343013
"164",0.03,1,10658.8999182243,0.528320064101278
"165",0.03,1.25,10635.6315881659,0.517166150184428
"166",0.03,1.5,10673.9344861055,0.515748264334735
"167",0.03,1.75,10601.2269542893,0.49011982269269
"168",0.03,2,10599.6150363048,0.480806054546215
"169",0.04,0.25,13036.0754254347,0.677825032302088
"170",0.04,0.5,13149.69313,0.686669488239162
"171",0.04,0.75,13253.1914936604,0.679771980231054
"172",0.04,1,13168.5433557038,0.652713293415079
"173",0.04,1.25,13142.7026654627,0.639074500105743
"174",0.04,1.5,13188.1077660993,0.63722928963815
"175",0.04,1.75,13122.9923739956,0.606707008846547
"176",0.04,2,13123.567576942,0.595294331598655
"177",0.05,0.25,15084.7857379086,0.784349970859962
"178",0.05,0.5,15186.93862,0.793053287785353
"179",0.05,0.75,15324.2790469598,0.786000528125474
"180",0.05,1,15249.4923221973,0.755857811123665
"181",0.05,1.25,15229.3952303121,0.740541606354741
"182",0.05,1.5,15278.7361081434,0.738245268346078
"183",0.05,1.75,15241.7603354081,0.704662668323707
"184",0.05,2,15248.0090204482,0.691660501980138
"185",0.06,0.25,16728.5176192341,0.869817611940159
"186",0.06,0.5,16800.61184,0.877318384560477
"187",0.06,0.75,16979.4252474684,0.870894948524502
"188",0.06,1,16939.2712647941,0.839613557600216
"189",0.06,1.25,16936.9298956104,0.823571854425892
"190",0.06,1.5,16986.8185950943,0.820777213725003
"191",0.06,1.75,17001.9580974514,0.786040778494971
"192",0.06,2,17018.8405802057,0.77198667727959
"193",0.07,0.25,17979.5132749711,0.934864502441057
"194",0.07,0.5,18003.19959,0.940116832150956
"195",0.07,0.75,18233.018905083,0.93519326062913
"196",0.07,1,18265.1423184911,0.905331810464338
"197",0.07,1.25,18296.8266144198,0.889697927417893
"198",0.07,1.5,18344.1891188511,0.886363290967465
"199",0.07,1.75,18439.485550063,0.852501076272561
"200",0.07,2,18473.771533658,0.837983377062607
"201",0.08,0.25,18828.2651213052,0.978996285119715
"202",0.08,0.5,18790.36815,0.981222326165869
"203",0.08,0.75,19080.8193340437,0.978677954614803
"204",0.08,1,19244.2257643423,0.953861155222346
"205",0.08,1.25,19331.4763514148,0.940008604018088
"206",0.08,1.5,19375.2127817264,0.936180784723696
"207",0.08,1.75,19583.2385080449,0.905379483591585
"208",0.08,2,19644.0110551206,0.891066271607486
