"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"36",0.1,1.4,26825.2710339758,21840.5617217227,0.982644410731888,0.955337638015971
"37",0.1,1.5,27130.2269744827,22009.9184741989,0.972080025664978,0.944584003717519
"38",0.1,1.6,27360.1068917448,22137.7137412677,0.963573547937957,0.933641446034073
"39",0.1,1.7,27536.8092510092,22235.6664946974,0.953704518076772,0.924519165016188
"40",0.1,1.8,27674.83431,22311.73805,0.946227513576696,0.915478666992955
"41",0.1,1.9,27784.1167984646,22371.4858463714,0.937949810846555,0.908320525528767
"42",0.1,2,27871.6549029819,22418.8773751384,0.93085334673555,0.900644437207534
"43",0.1,-1,28328.8259600086,22645.560329684,0.854157341647124,0.825565580411267
"44",0.1,0.6,5533.25635440546,10939.5241483535,0.327989140020759,0.752604626872887
"45",0.1,0.7,11952.7128807834,14746.8596881466,0.622379212776524,0.897302632453131
"46",0.1,0.8,17839.4830309185,17455.0201479328,0.847703198083767,0.973201155777341
"47",0.1,0.9,21496.4972818384,19135.3022061445,0.950942153550545,0.999421853412205
"48",0.1,1,23662.4603950529,20175.0806802238,0.989310318404903,1
"49",0.1,1.1,24978.3946916933,20844.1792822825,1,0.991300021744095
"50",0.1,1.2,25829.1696682105,21295.390743276,1,0.980030863629619
"51",0.1,1.3,26410.7251707916,21611.8102325515,0.990678266422674,0.968477250877373
"52",0.11,0.5,687.35483714287,6446.79149818463,0.0496587371467234,0.52942526642134
"53",0.11,1.4,27253.7997447412,22399.6902246489,0.998341972256557,0.979794724337228
"54",0.11,1.5,27689.2240120669,22635.0105750197,0.992108971797739,0.971410636445744
"55",0.11,1.6,28017.4121235479,22814.1678495751,0.986722651002236,0.96217038986437
"56",0.11,1.7,28270.4391949889,22953.0085352564,0.979112915461963,0.954344961536691
"57",0.11,1.8,28469.12407,23062.21522,0.973384995939388,0.946271688928789
"58",0.11,1.9,28627.5243239696,23149.2092088776,0.96642197480815,0.939897422038849
"59",0.11,2,28755.4411938284,23219.2765969105,0.960369908615248,0.932799263453816
"60",0.11,-1,29471.9601367562,23596.7041689505,0.888624581868625,0.860240439601629
"61",0.11,0.6,3042.83512801557,9591.17119029215,0.180367005058094,0.659842212243779
"62",0.11,0.7,8010.5140961935,13260.8416585955,0.417108442815486,0.806882846953931
"63",0.11,0.8,14378.4080509313,16485.8546208935,0.683238548280975,0.919165525737355
"64",0.11,0.9,19419.6612047892,18687.8220141011,0.859069001111464,0.97605031330903
"65",0.11,1,22593.4007967261,20105.4005182131,0.944613711460529,0.996546226351451
"66",0.11,1.1,24562.2785966225,21027.1147231584,0.983340959248707,1
"67",0.11,1.2,25816.3846413772,21648.2787661705,0.999505015956861,0.996271051847393
