"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"67.5",523468.709049622,495176.422428121,506262.358404518,496560.523222157,509663.065122245,515018.719870601,514225.250061638,499979.228166024,510136.859427409,503764.470018421,505845.549307304,508388.201173538,501222.479944498,528991.264180281,540556.976528576,474777.100915324,495810.134728084,530726.322989603,514747.983201499,503678.549085205
"72.5",486332.723746622,460034.029391849,470366.822728406,461344.145950026,473526.427068333,478495.03026737,477783.776329125,464484.86512702,473967.873672667,468042.728970783,469977.546594783,472343.402168691,465692.164438387,491490.95380239,502237.70183971,441139.394708304,460664.946528368,493095.309220306,478237.744953314,467925.001222404
"77.5",412018.277824227,389710.067668545,398533.254247683,390870.286624234,401210.399586344,405404.974018439,404856.310024952,393457.300342426,401587.059362687,396557.301803957,398199.299758406,400211.029169481,394588.999656128,416445.409868948,425553.254650941,373822.383107788,390332.409267542,417788.832331782,405174.976499551,396378.588689413
"82.5",338492.09141824,320116.492038352,327484.61308734,321156.149306444,329684.746927682,333105.250881877,332747.313229041,323154.178356863,329998.926279172,325849.631535818,327203.364897111,328868.577785398,324272.399850198,342227.612062014,349716.040242589,307270.82417197,320779.676738396,343304.351861893,332895.347401763,325566.135192946
"87.5",292343.795029059,276407.126729789,282935.172623426,277423.334541768,284836.850209861,287755.781234867,287574.030459053,278973.220299047,285115.194300082,281508.520363209,282683.794926654,284138.263785656,280201.242715771,295705.466915626,302182.123735734,265598.847737132,277190.770982155,296599.220212466,287544.882298278,281073.612567423
"92.5",280214.443124957,264872.159007188,271297.342864286,265964.623735612,273123.190841098,275884.736765459,275839.435977568,267269.211280403,273398.650676694,269919.594948602,271050.93336075,272458.834303356,268722.992297297,283574.780373436,289795.31997472,254808.927840913,265844.268061507,284397.338632349,275649.896876769,269302.542124996
"97.5",291606.499156979,275595.978204574,282400.50294285,276809.441203683,284307.009091972,287154.523890262,287194.670179236,278035.692670504,284603.972008464,280972.266050087,282149.088820611,283616.009313412,279767.631985951,295200.03499985,301691.31493785,265344.39155624,276778.467266144,296039.954205997,286880.376882536,280172.583941319
"102.5",308203.175337558,291269.877737417,298509.492067764,292566.049576163,300538.182073932,303535.043368274,303604.103975568,293798.280336315,300867.192296818,297035.303493981,298268.761330425,299799.408283324,295780.974751795,312038.871916669,318930.155453636,280555.799864045,292628.989609624,312940.597264894,303215.686047076,296082.809224137
"107.5",315632.168862471,298313.594922834,305711.338174372,299585.501312042,307816.659711225,310883.941093105,310920.123080153,300838.151213639,308180.770888857,304286.453576561,305523.458373249,307037.924074343,303002.587402723,319543.07770797,326658.410658306,287392.398229559,299785.778340055,320521.777256949,310515.631860861,303220.197002257
"112.5",311200.740183655,294185.768048973,301403.324359609,295305.058846065,303529.201816462,306559.610110703,306496.542921171,296572.877039823,303936.75079966,300157.380769839,301327.339316229,302719.724839296,298877.528704793,314986.656656778,322105.564379342,283430.303330759,295724.83246274,316062.483746953,306129.718219867,298993.784023843
"117.5",302279.37792228,285850.976052537,292729.345375792,286720.122561231,294870.887713133,297825.547731922,297601.91614589,288018.220717637,295344.118594967,291764.645269238,292823.554217327,294021.947970778,290495.758222181,305835.376411559,312909.518147596,275396.293447939,287463.129383933,307053.447661959,297308.728504615,290478.207136734
"122.5",299039.486639163,282909.423087101,289547.539259223,283498.579732245,291758.905097398,294691.501136858,294271.076371803,284870.241951507,292332.159423921,288893.668467658,289844.335786763,290848.393988335,287607.887263563,302400.779303425,309597.192938609,272547.533451568,284647.406834506,303816.639882925,294061.721281507,287432.647740364
