"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"202.5",203168.948272993,193399.571356233,196554.547085647,197229.380844177,199602.599430494,199965.058008502,198573.313004291,193988.60649269,199833.417735458,196285.255744413,199278.362856702,198007.205076654,196783.01083913,203388.705390894,208584.53420234,190919.508751093,196401.990160683,204853.329757996,200774.444969638,197151.554267174
"207.5",182429.501551298,173813.13715984,176605.249673843,177184.972483851,179113.496499308,179585.533880415,178344.286134991,174115.53937572,179436.71840216,176372.691048933,178993.315097453,177784.358436998,176963.121437627,182665.316987011,187376.722375283,171347.702452126,176213.427934839,184121.722180294,180509.922304167,177294.497674408
"212.5",162250.799298433,154737.341408144,157174.785997301,157703.119288115,159283.444067682,159832.543892157,158704.433861437,154894.739964986,159609.955973084,156969.590359573,159243.493100507,158134.773774897,157617.05098022,162520.780917863,166743.594277936,152484.953717762,156550.645153284,163974.770955696,160766.58778175,157860.980014246
"217.5",142844.51403286,136362.618800695,138501.381960125,138948.275847961,140331.176118092,140891.485453389,139873.677713845,136502.115440681,140557.702518148,138314.275437116,140244.732094135,139258.637201074,138884.855587624,143134.059661141,146857.970228136,134484.008233546,137727.103854151,144593.990724417,141654.342372488,139084.601206827
"222.5",124467.096361143,118950.940568227,120883.037065699,121177.441250833,122473.733809937,123003.905141484,122120.026598004,119166.321019394,122548.690594758,120688.261857377,122290.445146422,121436.764057566,121079.906732171,124818.266120892,128038.924146531,117524.740081739,120055.731635898,126219.914398087,123466.731085954,121280.39365738
"227.5",107313.843513434,102695.944808178,104462.081747296,104570.098558112,105810.356329361,106291.023097797,105566.293510475,103005.563793385,105742.092117604,104260.762400825,105548.839032365,104838.061791509,104437.845775757,107783.488922582,110498.79316503,101683.280725427,103642.54645388,109002.452243459,106464.349840123,104646.655785508
"232.5",91549.6351874704,87715.1904376374,89303.4863327299,89241.707953724,90418.0874765924,90820.9946627458,90269.9455572976,88069.8161737118,90242.9318136538,89117.0665721188,90121.6897499525,89539.603307888,89105.7075470954,92126.269805468,94348.5453093171,86996.6820900044,88520.6505284464,93074.0701129888,90821.4288438486,89310.3060006529
"237.5",77304.3359274533,74102.4914173158,75506.8511252301,75323.3292298641,76406.5414726123,76722.3463019528,76329.9627525566,74444.1016927448,76185.0879795737,75345.6062776549,76128.0788415133,75619.400292301,75206.4395589009,77907.6544604514,79701.3565738916,73575.5736688347,74785.6570146918,78601.8203936419,76667.1474369516,75399.2554466777
"242.5",64581.4607690076,61892.880712475,63110.0698944485,62878.6812446163,63817.137616106,64071.8191088996,63796.5172343825,62184.9458868334,63611.5328572055,62977.8209245726,63592.3259817722,63122.1957845861,62767.9133294881,65125.3930256595,66585.4373151241,61495.4894985191,62470.7885861459,65645.7579482533,64019.3834987331,62954.716794257
"247.5",53345.029445859,51109.7150602681,52125.2449129375,51907.6916735002,52670.9720148446,52894.7194145751,52696.7532949721,51332.5295978618,52505.2394217021,52026.6755185758,52500.7380154533,52093.1809806195,51782.2917384548,53789.8672253615,54989.5735036024,50793.3715403342,51564.99349285,54200.7715730454,52852.0133527191,51973.3076880284
"252.5",43545.0080059637,41728.5044977357,42550.2569007419,42350.6250859524,42962.9620779357,43165.6656676186,43019.9576097333,41878.2117346575,42832.54750833,42476.9956722653,42830.4232493013,42511.8320141784,42217.562701163,43898.8635557644,44886.1046233413,41463.7226328263,42044.028666907,44227.7304983744,43114.7865869044,42416.9210229575
"257.5",35121.4303773483,33672.7575876477,34346.7672600421,34134.0386099057,34645.1700540188,34820.8476508825,34718.2616822908,33774.9927847549,34548.0573594134,34276.2408512542,34536.5489324024,34291.2023274759,34021.2336905882,35412.8880186687,36221.643512532,33456.3839346276,33873.8583174049,35663.118709737,34747.3396273574,34222.5316516239
"262.5",27991.3350757044,26844.0683830682,27418.5870902551,27177.1649159053,27620.9890005989,27762.4666853411,27708.27618354,26938.6841854222,27559.1789566021,27333.7734926681,27530.6076238106,27327.0046308391,27107.5337725565,28245.0023681812,28893.6315492565,26679.7769058194,26983.0223481269,28417.6830071446,27667.488510655,27296.0185811034
"267.5",22047.703481537,21143.1861348351,21641.7574609728,21381.4062444009,21765.0573184639,21876.7977441118,21871.0254740733,21243.5419103921,21739.8813029723,21538.7889784331,21692.6453705662,21517.0998494439,21361.1634501423,22272.0438005467,22771.385605137,21025.6181904973,21262.7279049239,22381.1582589691,21766.6240578972,21521.1886837134
"272.5",17167.8467905277,16461.2181402222,16887.7642052219,16631.4685605697,16945.9533794409,17042.5289114386,17065.8655823563,16551.2289649635,16956.1134514393,16773.0250281746,16893.2926735504,16748.3251881014,16650.1946253445,17355.7797975243,17724.4173535129,16376.862918585,16578.4738360472,17426.2012537323,16921.8252324366,16772.6980845419
"277.5",13221.6910603826,12673.9236689615,13028.012129945,12799.8714731675,13038.2000601112,13128.9346188233,13157.0512048625,12739.3101039935,13073.047847123,12915.1985834458,13003.0037670793,12891.6294717575,12839.8883061185,13361.9119514852,13629.9761794723,12608.5816600998,12786.1315935208,13418.3817422027,13007.1783190051,12922.4265626418
"282.5",10072.6823619509,9648.39606911492,9934.17435318156,9747.6107531624,9916.03274370115,9999.99953724239,10019.4712778021,9690.55512816647,9958.50692684585,9836.38777187097,9890.9528778371,9810.45043975543,9795.89036686473,10161.9712634943,10362.588713885,9595.49260600469,9747.47799557603,10218.9234613683,9890.69466191786,9840.81349167239
"287.5",7588.96108847329,7260.22080065814,7486.23707076464,7340.39578153211,7455.25776749896,7528.81320390027,7537.45732889221,7286.95508882524,7492.81249800459,7408.34568991971,7433.42268331333,7378.00104215516,7390.99523108164,7635.86759654157,7793.07751476452,7220.55347421155,7342.00533875855,7694.65958786217,7440.87936756238,7405.86509428308
"292.5",5654.74233538657,5401.70271224992,5577.67096972886,5464.37875642098,5543.3328707785,5604.26320693103,5605.16693039913,5418.38807331496,5571.20643005225,5517.66548458345,5521.22481050436,5484.91851142195,5513.99340044956,5673.93540516976,5799.07623616381,5376.1743501535,5466.86946298442,5729.21282396984,5539.03578418399,5509.54676712444
