"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"67.5",577840.314360645,547157.116279786,560507.300860291,556533.164508434,566644.849650302,568115.697888723,568201.345429155,551890.108728639,565390.928978849,554391.924296554,561522.676929581,563036.824556679,555485.591035572,581845.599947214,595976.138961813,532827.419257511,550651.604568097,584226.649507011,569469.122833763,556941.757842363
"72.5",537053.26281783,508520.799186281,520963.64259219,517263.228074122,526668.334223215,528030.077134043,528132.644417928,512910.39046274,525506.329941618,515281.979099748,521910.389633463,523316.495294972,516305.264076646,540802.404417667,553937.002960096,495265.192591582,511807.155331378,543009.814095415,529280.060119347,517609.557329529
"77.5",455154.406711288,430942.033342909,441559.516236113,438409.344260551,446395.059140723,447538.228758923,447672.467931911,434642.918285254,445417.313080104,436748.658152672,442368.252178394,443557.451727222,437629.937555854,458386.588300578,469521.306591425,419837.096845694,433806.794585083,460245.943634137,448581.23321315,438633.971360913
"82.5",373953.505718868,354007.599569768,362854.458944314,360242.011886995,366828.889842965,367749.365671888,367940.547191898,357014.814694521,366037.764647404,358909.874556435,363530.177817843,364502.681891051,359657.937159392,376702.843813568,385856.700209995,345105.660929874,356498.068933846,378211.139329479,368578.06514705,360308.632290505
"87.5",322846.003107943,305553.401718052,313360.63161857,311071.258468301,316794.719326529,317563.48756451,317838.908583132,308102.582615792,316128.780095361,309967.933531765,313960.715637755,314793.063218705,310646.507716644,325348.068122063,333259.589110929,298173.911457728,307892.821067785,326624.535891346,318239.500769021,310967.317344899
"92.5",309298.090375877,292657.590565621,300309.811029897,298079.795321572,303604.84597438,304314.344919939,304688.870661079,295048.073017874,302985.335736422,297078.201474976,300905.716784591,301692.548634959,297761.116134029,311825.582890404,319417.166268985,285904.370211768,295097.117158866,313024.940992046,304919.57737379,297816.595961223
"97.5",321820.691403281,304456.233515364,312539.066173606,310187.235803445,315977.021636885,316694.638161496,317156.911507882,306896.817047763,315348.408670056,309205.407082845,313184.762449574,313987.209860011,309937.443045968,324540.55769141,332456.752803899,297665.090417503,307148.264356285,325779.23830684,317288.499144171,309801.210342899
"102.5",340194.955330507,321822.436791675,330414.56348929,327900.865693902,334068.046409391,334814.036701535,335318.866020675,324356.737595172,333417.798781152,326942.596465976,331135.675036257,331954.668439284,327721.070715748,343102.555618852,351500.370943956,314772.849188135,324767.825088691,344427.039827269,335411.572893203,327454.430457531
"107.5",348489.619115974,329685.463244346,338467.918758082,335858.977469604,342248.834689539,343004.737679705,343478.055871964,332218.998110262,341600.853340913,335011.445626227,339275.693923754,340058.50225575,335795.608727203,351445.553734332,360104.232802924,322519.612486688,332778.417469401,352852.029063111,343581.263057026,335434.904987818
"112.5",343663.857805835,325170.15788059,333748.732044733,331123.572871107,337546.251485687,338283.444794137,338639.913501639,327567.938520766,336936.389870269,330518.83293143,334666.310325614,335338.685746859,331259.002966748,346501.672358995,355140.286476333,318119.127111886,328305.727510873,347986.073389105,338798.451881315,330810.721607011
