"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"63",0.11,1.2,23217.4976232498,19753.1438119445,0.995120114929566,0.998202626584756
"64",0.11,1.3,24308.9324766972,20325.9486281097,1,0.989277894529558
"65",0.12,0.5,77.8078323279501,3507.98572322416,0.00852263666848669,0.429820609470109
"66",0.12,1.4,25093.379076994,21089.3951193509,1,0.994339892530691
"67",0.12,1.5,25848.1695672904,21491.3894252481,1,0.987811369222004
"68",0.12,1.6,26406.015293747,21797.1384961797,0.997953156254889,0.979220906208839
"69",0.12,1.7,26831.1889947347,22034.9567087925,0.992549290605457,0.97118264437094
"70",0.12,1.8,27163.2094723932,22223.3757949478,0.987708886723261,0.963159494508017
"71",0.12,1.9,27427.5768570683,22374.9633759941,0.980839345892683,0.955856902399415
"72",0.12,2,27641.4472912131,22498.5100503007,0.975583255327933,0.94860151890991
"73",0.12,0.6,550.023197942206,5723.07684184103,0.0438077029701539,0.51876513221526
"74",0.12,0.7,2366.82877836486,8470.06401382353,0.154694263996238,0.6354864053855
"75",0.12,0.8,6184.80493028999,11674.9299550501,0.352544914571376,0.770167538290245
"76",0.12,0.9,11445.905202716,14765.4628823835,0.590121023759353,0.886574385746392
"77",0.12,1,16574.5395682089,17099.7676171821,0.791931118590999,0.955624000968979
"78",0.12,1.1,20129.4750867646,18698.6872933862,0.907070768644397,0.987930217827873
"79",0.12,1.2,22475.3472843541,19788.7115159452,0.963310970700459,1
"80",0.12,1.3,24032.0906130997,20546.2476625696,0.988611517027213,1
"81",0.13,0.5,32.1264150416297,3379.04547598027,0.00351894860284471,0.414022034439234
"82",0.13,1.4,24655.3157946395,21209.442845219,0.982542674662891,1
"83",0.13,1.5,25699.8600181072,21730.0193629823,0.99426228039873,0.998779546330816
"84",0.13,1.6,26460.1751377222,22124.3759344189,1,0.993921814810865
"85",0.13,1.7,27032.6010493319,22430.2686974532,1,0.988605875447488
"86",0.13,1.8,27475.6839108067,22672.2895774593,0.999071085288514,0.982615385270561
"87",0.13,1.9,27826.3630399819,22866.962160809,0.995100364313609,0.976875056777357
"88",0.13,2,28108.9462947054,23025.7363206031,0.992083266882486,0.970830886085777
"89",0.13,0.6,242.712696702511,5330.61835477085,0.0193313405034707,0.483190949907327
"90",0.13,0.7,1201.57071318277,7614.68362262048,0.078533816562623,0.571309486633089
"91",0.13,0.8,3776.51749038053,10412.7650087856,0.215268234169042,0.686905499603641
"92",0.13,0.9,8017.39635395592,13445.072209824,0.413356048341052,0.807293122517837
"93",0.13,1,13229.0850337369,16139.5760104592,0.632085378033511,0.901963497185794
"94",0.13,1.1,17820.9938412848,18124.8374365584,0.803046403939758,0.957611318690129
"95",0.13,1.2,20999.5240107316,19519.9982436047,0.900056030418165,0.986420880807526
"96",0.13,1.3,23167.6737464549,20503.4172418155,0.95305187789154,0.997915413974488
"97",0.14,0.5,13.2625206691106,3293.85183862984,0.00145270265973624,0.403583570882637
"98",0.14,1.4,23661.5316347088,21090.257514564,0.942939233576639,0.994380553439108
"99",0.14,1.5,25102.9907020143,21756.5722514154,0.971170923212331,1
"100",0.14,1.6,26141.1563049109,22259.6743574131,0.987943434570979,1
"101",0.14,1.7,26911.861678808,22648.4115208476,0.995533564443038,0.998220440471352
"102",0.14,1.8,27501.230208131,22955.0382400105,1,0.994869691790345
"103",0.14,1.9,27963.3733821168,23201.1866610064,1,0.991153104526362
"104",0.14,2,28333.2530978319,23401.7389033198,1,0.986684230164193
"105",0.14,0.6,103.402642513185,5077.01109732881,0.0082357112690774,0.460202860445409
"106",0.14,0.7,565.584249632338,6995.03610474663,0.0369661886928651,0.524818979229953
"107",0.14,0.8,2098.73975138486,9358.50349485438,0.11963190993072,0.617358359019099
"108",0.14,0.9,5198.49143026884,12098.8906123872,0.268020661581797,0.726463274354081
"109",0.14,1,9594.61639081033,14885.1496551209,0.458430550034703,0.831859624463876
"110",0.14,1.1,14591.6300065713,17221.5155527774,0.657525394417159,0.909885027993343
"111",0.14,1.2,18721.1320680088,18944.3566116163,0.802402368999181,0.957331486506914
"112",0.14,1.3,21622.2598799068,20187.6007401104,0.889477968669917,0.982544407701628
"113",0.15,0.5,5.53725382370408,3234.89297817607,0.000606519948810683,0.396359558206037
"114",0.15,1.4,22030.7140509316,20724.522374414,0.87794927830703,0.977136576649192
"115",0.15,1.5,23975.929237749,21564.4009441469,0.927567779038767,0.99116720662392
"116",0.15,1.6,25388.0609827863,22199.4225892035,0.959481970570653,0.997293232270959
"117",0.15,1.7,26428.1147946351,22688.7875689594,0.977638620360887,1
"118",0.15,1.8,27213.5305101517,23073.4119547869,0.9895386607871,1
"119",0.15,1.9,27822.2170286496,23381.205041945,0.994952098534812,0.99884347742608
"120",0.15,2,28304.7690803005,23631.3948947444,0.998994678887276,0.996367183471104
"121",0.15,0.6,42.9742053502649,4912.52631912672,0.00342276694947805,0.445293228778826
"122",0.15,0.7,253.261719699325,6570.52470086061,0.0165530078413087,0.492969016152885
"123",0.15,0.8,1063.92748916485,8536.655063982,0.0606457649037241,0.563142960272412
"124",0.15,0.9,3106.47801770511,10910.13349197,0.1601619055572,0.655085788783145
"125",0.15,1,6496.26075853665,13520.2807669897,0.310391189329592,0.755583648270876
"126",0.15,1.1,10878.1904690064,16034.3596196194,0.490191053052827,0.847162591854456
"127",0.15,1.2,15577.0600287869,18074.2259976391,0.667644981282933,0.913360426881527
"128",0.15,1.3,19336.61672893,19597.4912565688,0.795453142480291,0.953823373416782
"129",0.16,0.5,2.34660216406985,3192.01122665174,0.000257033733642105,0.391105414652
"130",0.16,1.4,19711.8156294395,20112.5143499885,0.785538510734555,0.94828112632493
"131",0.16,1.5,22249.6517114683,21148.4686528683,0.860782488042177,0.972049659683522
"132",0.16,1.6,24126.0394193475,21938.3782399049,0.911786837909206,0.985566000995823
"133",0.16,1.7,25521.3695801871,22548.2272086947,0.944095965224103,0.993804853616021
"134",0.16,1.8,26570.0056609097,23026.6311320684,0.966138803967178,0.997972522537622
"135",0.16,1.9,27374.0602574306,23408.2772429931,0.978925535319602,1
"136",0.16,2,28004.505295848,23717.5564257529,0.988397103543008,1
"137",0.16,0.6,17.6786439534853,4803.2446060357,0.00140805112607408,0.435387448390573
"138",0.16,0.7,109.353135822422,6286.23845607446,0.00714724403233635,0.471639774307151
"139",0.16,0.8,503.995375707964,7933.58294150874,0.0287286355311131,0.523359717566464
"140",0.16,0.9,1695.89657445407,9937.64066121138,0.0874360048403458,0.596693631290997
"141",0.16,1,4091.90915340953,12251.2810333062,0.195511325047477,0.684665339327737
"142",0.16,1.1,7592.32820271574,14690.2321855448,0.342124121416661,0.776146691759511
"143",0.16,1.2,11859.4121457585,16941.5655757612,0.508303684100147,0.856122722397067
"144",0.16,1.3,16241.93812897,18743.9035028998,0.668146910381182,0.912278670574324
"145",0.17,0.5,1.00785310603289,3159.31492474204,0.000110394616851941,0.387099256838641
"146",0.17,1.4,16635.2850332719,19264.3323621003,0.662935230135004,0.908290354569254
"147",0.17,1.5,19879.2290805959,20510.6478031398,0.769076859730605,0.942733421704582
"148",0.17,1.6,22298.3439659239,21473.5935913503,0.842713392857891,0.964685882037577
"149",0.17,1.7,24124.4599773206,22222.833290546,0.892420967308909,0.979463235882605
"150",0.17,1.8,25512.2452883688,22812.0154936975,0.9276765110248,0.988671096342335
"151",0.17,1.9,26574.8373274696,23281.5296842614,0.95034447254725,0.994585352975105
"152",0.17,2,27401.1083614945,23661.0497225254,0.967100680845973,0.997617515809253
"153",0.17,0.6,7.31028061802192,4727.8956847651,0.000582241991139486,0.428557487132767
"154",0.17,0.7,45.8604440239527,6094.92319106519,0.00299740636064397,0.457285898131281
"155",0.17,0.8,228.060302234648,7509.93298300899,0.0129998440815281,0.495412530997402
"156",0.17,0.9,853.278145784377,9182.05753881558,0.043992796028249,0.551325555264229
"157",0.17,1,2379.66025647294,11175.1154860332,0.113700112212457,0.62452360822277
"158",0.17,1.1,4970.70810738462,13384.566509446,0.223989150449178,0.707162887946988
"159",0.17,1.2,8457.08757638366,15634.8932190988,0.362477390868893,0.790091522962505
"160",0.17,1.3,12550.1164578089,17651.5227808654,0.516275919143696,0.859111749783018
"161",0.18,0.5,0.437544832503338,3133.31587566196,4.79262244176448e-05,0.383913688822425
"162",0.18,1.4,12975.9511975657,18200.4533481302,0.517106570532075,0.858129724620886
"163",0.18,1.5,16796.0183898896,19660.7436022818,0.649795272588437,0.903669170634301
"164",0.18,1.6,19863.2921543171,20808.4153907244,0.750686344702215,0.93480322562736
"165",0.18,1.7,22192.2689818815,21711.5900978852,0.820944641671097,0.956930379461479
"166",0.18,1.8,23982.0475803495,22427.0142615811,0.872035447100071,0.971985170876659
"167",0.18,1.9,25368.990961098,22998.8656429903,0.907222122825926,0.982509964498761
"168",0.18,2,26449.6690574183,23461.0247608689,0.933520375019777,0.989183891448216
"169",0.18,0.6,3.06454006883168,4673.65831628899,0.000244081452523789,0.423641170891333
"170",0.18,0.7,18.9143550197493,5963.07191600288,0.001236228938692,0.44739344717718
"171",0.18,0.8,99.560608016419,7216.72666130943,0.00567513227069183,0.476070402876384
"172",0.18,0.9,405.243005332279,8622.91424323107,0.0208932725671409,0.517752471387631
"173",0.18,1,1271.01403664244,10305.9724013614,0.0607290213788956,0.575951369664743
"174",0.18,1.1,3036.05501593002,12242.0589722993,0.136810162464547,0.646799414172946
"175",0.18,1.2,5700.16645295682,14323.529161147,0.244313594334292,0.723823233746447
"176",0.18,1.3,9091.75540867459,16385.2942004034,0.37400883059715,0.797483534195567
"177",0.01,0.5,3999.59966089766,3215.74261646259,0.43809387447732,0.394013134704719
"178",0.01,1.4,4341.84160786797,3471.86041712097,0.173027378837497,0.163694088640503
"179",0.01,1.5,4332.63426818931,3464.34061773473,0.167618610552294,0.159231912899761
"180",0.01,1.6,4323.82519569799,3457.17160438948,0.163408789745078,0.155310969463403
"181",0.01,1.7,4315.57043733564,3450.47018732535,0.15964318155919,0.152078209416794
"182",0.01,1.8,4307.94109924284,3444.28759608251,0.156645396101923,0.149275174509592
"183",0.01,1.9,4300.95726490925,3438.63580837435,0.153806810292059,0.146898286135245
"184",0.01,2,4294.60863519332,3433.50356163842,0.151574851654502,0.144766328368898
"185",0.01,0.6,4225.25299204618,3387.21143839909,0.336528765953545,0.307031905781103
"186",0.01,0.7,4317.19595320597,3457.11628587849,0.282168890548187,0.259378252387121
"187",0.01,0.8,4355.89990480686,3486.21150653906,0.248294065395785,0.229977134277273
"188",0.01,0.9,4369.99805077382,3496.38947754346,0.225305703470014,0.209936483405582
"189",0.01,1,4371.86218824076,3497.1710331325,0.208887474599895,0.195440116472508
"190",0.01,1.1,4367.49234645759,3493.18808408647,0.196807150840939,0.184559804155125
"191",0.01,1.2,4360.01836937344,3486.85927053261,0.186873798857683,0.176204462211852
"192",0.01,1.3,4351.14920510359,3479.5043422957,0.178993841431525,0.16934986862027
"193",0.19,0.5,0.191678869424798,3111.88407035782,2.09954359639323e-05,0.381287728415322
"194",0.19,1.4,9510.59128219504,16971.5899525145,0.379007994619366,0.800190277338672
"195",0.19,1.5,13168.0955623332,18616.6024098405,0.509440156992655,0.855677180886312
"196",0.19,1.6,16754.617065121,19952.5121878366,0.633201291295886,0.896352384471961
"197",0.19,1.7,19682.8237623302,21019.1102091368,0.728114313765477,0.926409582056871
"198",0.19,1.8,21944.1383240486,21872.3823227649,0.797932970924355,0.947947462890384
"199",0.19,1.9,23708.4347742719,22559.1057836913,0.847838865872813,0.963723453439702
"200",0.19,2,25099.2870838279,23116.0930260008,0.885859699807945,0.974640583163153
"201",0.19,0.6,1.30308392372621,4632.89617911142,0.000103786737885515,0.419946309531496
"202",0.19,0.7,7.80144940969323,5868.90574458643,0.000509897245448457,0.440328409453181
"203",0.19,0.8,42.1137255510365,7011.94085753259,0.00240055748629349,0.462561167362437
"204",0.19,0.9,184.820763700753,8221.87700554982,0.00952887660306616,0.493672674804831
"205",0.19,1,633.891400124432,9632.90390152787,0.0302873164892389,0.538336799271938
"206",0.19,1.1,1711.11218017525,11294.8372595892,0.077105827837949,0.596753711055596
"207",0.19,1.2,3612.4353131094,13144.3488203697,0.154831804111277,0.664234698139813
"208",0.19,1.3,6263.40548696972,15087.3662478514,0.257658599075623,0.73431248837407
"209",0.2,0.5,0.0846681680341439,3093.67468102391,9.27407963892314e-06,0.379056598804456
"210",0.2,1.4,6660.1774985302,15697.4372408862,0.265415728909797,0.74011549268135
"211",0.2,1.5,9733.90758021494,17420.3220077151,0.376580150283938,0.800692397975596
"212",0.2,1.6,13158.2462571516,18921.9828044489,0.497284926825481,0.850056586661042
"213",0.2,1.7,16535.3877262957,20154.9427038147,0.611683193049763,0.888321715850024
"214",0.2,1.8,19352.623274292,21153.7304437453,0.703700275508774,0.916801142596367
"215",0.2,1.9,21564.4894074614,21964.5767501121,0.771169097261076,0.93832521385942
"216",0.2,2,23312.2811780713,22626.4580895161,0.822788724527195,0.953996174114629
"217",0.2,0.6,0.560027691191172,4601.01450671431,4.46045309407874e-05,0.41705641298574
"218",0.2,0.7,3.25610464350072,5798.85673944243,0.000212816708975907,0.43507281865633
"219",0.2,0.8,17.4546719464556,6865.24461901409,0.000994947439667439,0.452883963188089
"220",0.2,0.9,81.3664849200851,7935.99201456491,0.00419504377594765,0.476507055799486
"221",0.2,1,301.542986899918,9131.20369576189,0.0144077169646969,0.510299180945517
"222",0.2,1.1,894.973515183615,10536.2698611276,0.0403291348052961,0.556675408047429
"223",0.2,1.2,2128.81589606564,12147.0322558883,0.0912427150217667,0.613836441351957
"224",0.2,1.3,4081.53929491856,13894.3693097907,0.167902860351073,0.676248507171602
"225",0.21,0.5,0.0376939412265957,3077.81101428468,4.12878441753179e-06,0.377112881969708
"226",0.21,1.4,4433.98489551496,14507.3120345003,0.176699394765056,0.684002504939469
