"","h","MPAProp","mpa_yield","mpa_prop_msy"
"72",0.15,0.8,6368.14616356464,0.86221079885428
"73",0.16,0,4091.90915340953,0.195511325047477
"74",0.16,0.1,8187.01284250854,0.423741123022853
"75",0.16,0.2,12251.2810333062,0.684665339327737
"76",0.16,0.3,15386.6427863555,0.919596206315687
"77",0.16,0.4,15832.0654282436,0.999537537063559
"78",0.16,0.5,14550.2031851307,0.967378628482194
"79",0.16,0.6,12312.4209312985,0.921580669249273
"80",0.16,0.7,9588.75407727653,0.895448246685001
"81",0.16,0.8,6521.02599115551,0.882909858657588
"82",0.17,0,2379.66025647294,0.113700112212457
"83",0.17,0.1,6783.59022621648,0.351103167404225
"84",0.17,0.2,11175.1154860332,0.62452360822277
"85",0.17,0.3,14862.2133221641,0.888253219255622
"86",0.17,0.4,15780.0534137254,0.996253823948245
"87",0.17,0.5,14690.6643493417,0.97671726978229
"88",0.17,0.6,12506.1406702281,0.936080528184059
"89",0.17,0.7,9774.39243203291,0.912784131821321
"90",0.17,0.8,6658.99522724159,0.901590109111592
"91",0.18,0,1271.01403664244,0.0607290213788956
"92",0.18,0.1,5785.06400594303,0.299421726311385
"93",0.18,0.2,10305.9724013614,0.575951369664743
"94",0.18,0.3,14342.3556673062,0.857183470391664
"95",0.18,0.4,15695.1856692845,0.990895805650564
"96",0.18,0.5,14799.7448758441,0.983969551333234
"97",0.18,0.6,12673.9752020535,0.948642887855308
"98",0.18,0.7,9940.29634003238,0.928277110610752
"99",0.18,0.8,6783.68430000273,0.918472300925733
"100",0.01,0,4371.86218824076,0.208887474599895
"101",0.01,0.1,3934.5166595685,0.203641613852268
"102",0.01,0.2,3497.1710331325,0.195440116472508
"103",0.01,0.3,3059.81871093371,0.182872749933702
"104",0.01,0.4,2622.42995611206,0.165563816757467
"105",0.01,0.5,2185.01095179309,0.145271710014625
"106",0.01,0.6,1747.60340453702,0.130807541759838
"107",0.01,0.7,1310.25397298545,0.122358401661618
"108",0.01,0.8,873.123792432447,0.118215999324749
"109",0.19,0,633.891400124432,0.0302873164892389
"110",0.19,0.1,5124.95458831624,0.265255967526837
"111",0.19,0.2,9632.90390152787,0.538336799271938
"112",0.19,0.3,13857.5953517939,0.828211344807985
"113",0.19,0.4,15587.5650078272,0.984101310555927
"114",0.19,0.5,14882.7014480761,0.989484966757218
"115",0.19,0.6,12819.3319797364,0.959522794999841
"116",0.19,0.7,10088.7348486875,0.942139078625007
"117",0.19,0.8,6896.52494298539,0.933750282685317
"118",0.2,0,301.542986899918,0.0144077169646969
"119",0.2,0.1,4707.35162737052,0.243641790164122
"120",0.2,0.2,9131.20369576189,0.510299180945517
"121",0.2,0.3,13424.9051931589,0.802351237836259
"122",0.2,0.4,15465.5298294325,0.976396773065187
"123",0.2,0.5,14944.0325011362,0.993562597099403
"124",0.2,0.6,12945.1687197254,0.968941633723947
"125",0.2,0.7,10221.6945170324,0.954555551186485
"126",0.2,0.8,6998.77666402465,0.947594584593133
"127",0.21,0,138.364946683799,0.00661107396378348
"128",0.21,0.1,4443.98545653961,0.230010557486109
"129",0.21,0.2,8764.36403863525,0.489798271886075
"130",0.21,0.3,13049.4198013314,0.779910023944056
"131",0.21,0.4,15335.7170391277,0.96820120582927
"132",0.21,0.5,14987.5547409528,0.996456198248924
"133",0.21,0.6,13054.0485924665,0.977091256495002
"134",0.21,0.7,10340.9163116708,0.965689108905791
"135",0.21,0.8,7091.54943737693,0.96015549085525
"136",0.22,0,61.24981969805,0.00292651497360511
"137",0.22,0.1,4273.29656333518,0.221176089446871
"138",0.22,0.2,8495.55413561808,0.47477577562927
"139",0.22,0.3,12728.9588284805,0.760757392730232
"140",0.22,0.4,15203.1999104184,0.959834903589732
"141",0.22,0.5,15016.4821496695,0.998379453657378
"142",0.22,0.6,13148.1902316625,0.98413772731813
"143",0.22,0.7,10447.9276570866,0.975682390708175
"144",0.22,0.8,7175.8231839871,0.97156567719848
"145",0.23,0,26.1977675388057,0.00125172872924852
"146",0.23,0.1,4157.58104776363,0.21518691812606
"147",0.23,0.2,8295.05476858682,0.463570827608711
"148",0.23,0.3,12457.8356194923,0.744553476262451
"149",0.23,0.4,15071.6792397577,0.951531511475736
"150",0.23,0.5,15033.5036512052,0.999511137978264
"151",0.23,0.6,13229.512612944,0.990224680890018
"152",0.23,0.7,10544.0702429437,0.984660690625317
"153",0.23,0.8,7252.464517786,0.981942478223885
"154",0.24,0,10.9715055945387,0.000524218284456958
"155",0.24,0.1,4074.71158280203,0.210897783514617
"156",0.24,0.2,8141.38671066425,0.454983056849444
"157",0.24,0.3,12229.1153446277,0.730883808356761
"158",0.24,0.4,14943.7057357586,0.943452065267255
"159",0.24,0.5,15040.8565547492,1
"160",0.24,0.6,13299.6749644968,0.995476309896281
"161",0.24,0.7,10630.5241264353,0.992734208599369
"162",0.24,0.8,7322.24116266685,0.991389839383449
"163",0.25,0,4.58550522694793,0.000219095334065691
"164",0.25,0.1,4011.87469251248,0.20764548930539
"165",0.25,0.2,8019.86259482637,0.448191656849685
"166",0.25,0.3,12035.8263854135,0.719331724118235
"167",0.25,0.4,14820.91069299,0.935699554695035
