"","h","K","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"183",0.17,0.3,1.1335204895633e-19,9.06816391651681e-20,0.000232605246266526,0.000232605246266791
"184",0.17,0.4,0.0405351556940153,493.179669231726,2.04024029982996e-05,0.265553552762386
"185",0.17,0.5,0.503926553016611,1579.65746237105,0.000110394616851976,0.387099256838645
"186",0.17,0.6,4.38616837081316,2836.73741085906,0.000582241991139488,0.428557487132766
"187",0.17,0.7,32.1023108167669,4266.44623374563,0.00299740636064397,0.457285898131281
"188",0.17,0.8,182.448241787718,6007.94638640719,0.0129998440815281,0.495412530997401
"189",0.17,0.9,767.950331205941,8263.85178493403,0.043992796028249,0.55132555526423
"190",0.17,1,2379.66025647294,11175.1154860332,0.113700112212457,0.62452360822277
"191",0.18,0.2,5.7396739864251e-25,4.59173918914008e-25,0.000115794719669926,0.000115794719669926
"192",0.18,1.1,3339.66051752302,13466.2648695292,0.136810162464547,0.646799414172944
"193",0.18,1.2,6840.19974354817,17188.2349933764,0.244313594334292,0.723823233746445
"194",0.18,1.3,11819.282031277,21300.8824605244,0.37400883059715,0.797483534195565
"195",0.18,1.4,18166.3316765921,25480.6346873822,0.517106570532079,0.85812972462088
"196",0.18,1.5,25194.0275848344,29491.1154034227,0.649795272588438,0.903669170634304
"197",0.18,1.6,31781.2674469073,33293.464625159,0.750686344702212,0.934803225627361
"198",0.18,1.7,37726.8572691985,36909.7031664048,0.820944641671097,0.956930379461477
"199",0.18,1.8,43167.6856446291,40368.6256708459,0.872035447100071,0.97198517087666
"200",0.18,1.9,48201.0828260863,43697.8447216815,0.907222122825927,0.982509964498761
"201",0.18,2,52899.3381148366,46922.0495217378,0.933520375019777,0.989183891448216
"202",0.18,0.3,5.64285154509767e-20,4.51428123608527e-20,0.000115794719670093,0.000115794719670275
"203",0.18,0.4,0.0184519129792144,484.31918216857,9.28732992993213e-06,0.260782606258262
"204",0.18,0.5,0.218772416251746,1566.65793783101,4.79262244176609e-05,0.38391368882243
"205",0.18,0.6,1.83872404129901,2804.1949897734,0.00024408145252379,0.423641170891333
"206",0.18,0.7,13.2400485138245,4174.15034120202,0.00123622893869199,0.447393447177181
"207",0.18,0.8,79.6484864131352,5773.38132904754,0.00567513227069183,0.476070402876383
"208",0.18,0.9,364.718704799052,7760.62281890796,0.0208932725671409,0.517752471387631
"209",0.18,1,1271.01403664244,10305.9724013614,0.0607290213788956,0.575951369664743
"210",0.01,0.2,4.78426389588977e-21,3.82741111671181e-21,0.965198542568361,0.965198542568358
"211",0.01,1.1,4804.24158110335,3842.50689249512,0.19680715084094,0.184559804155125
"212",0.01,1.2,5232.02204324813,4184.23112463913,0.186873798857683,0.176204462211852
"213",0.01,1.3,5656.49396663467,4523.35564498441,0.178993841431525,0.16934986862027
"214",0.01,1.4,6078.57825101515,4860.60458396936,0.173027378837497,0.163694088640503
"215",0.01,1.5,6498.95140228396,5196.51092660209,0.167618610552294,0.159231912899761
"216",0.01,1.6,6918.12031311679,5531.47456702316,0.163408789745078,0.155310969463403
"217",0.01,1.7,7336.46974347059,5865.7993184531,0.15964318155919,0.152078209416794
"218",0.01,1.8,7754.29397863712,6199.71767294852,0.156645396101923,0.149275174509592
"219",0.01,1.9,8171.81880332757,6533.40803591126,0.153806810292059,0.146898286135245
"220",0.01,2,8589.21727038664,6867.00712327685,0.151574851654502,0.144766328368899
"221",0.01,0.3,4.70355824753926e-16,3.76284659803143e-16,0.965198542568316,0.965198542568309
"222",0.01,0.4,1327.73053208669,1081.91185237422,0.668281468887483,0.582557542611746
"223",0.01,0.5,1999.79983044883,1607.87130823129,0.438093874477313,0.394013134704715
"224",0.01,0.6,2535.15179522771,2032.32686303945,0.336528765953546,0.307031905781101
"225",0.01,0.7,3022.03716724418,2419.98140011494,0.282168890548187,0.259378252387121
"226",0.01,0.8,3484.71992384549,2788.96920523125,0.248294065395785,0.229977134277273
"227",0.01,0.9,3932.99824569643,3146.75052978911,0.225305703470013,0.209936483405582
"228",0.01,1,4371.86218824076,3497.1710331325,0.208887474599895,0.195440116472508
"229",0.19,0.2,2.82524252567252e-25,2.26019402053802e-25,5.69976913381389e-05,5.6997691338139e-05
"230",0.19,1.1,1882.22339819278,12424.3209855482,0.0771058278379494,0.596753711055599
"231",0.19,1.2,4334.92237573127,15773.2185844436,0.154831804111277,0.66423469813981
"232",0.19,1.3,8142.42713306063,19613.5761222069,0.257658599075623,0.734312488374072
"233",0.19,1.4,13314.8277950731,23760.2259335202,0.379007994619367,0.800190277338666
"234",0.19,1.5,19752.1433434997,27924.9036147608,0.509440156992654,0.855677180886317
"235",0.19,1.6,26807.3873041936,31924.0195005385,0.633201291295885,0.896352384471961
"236",0.19,1.7,33460.8003959613,35732.4873555325,0.728114313765476,0.926409582056869
"237",0.19,1.8,39499.4489832875,39370.2881809768,0.797932970924356,0.947947462890386
"238",0.19,1.9,45046.0260711167,42862.3009890135,0.847838865872813,0.963723453439705
"239",0.19,2,50198.5741676558,46232.1860520017,0.885859699807945,0.974640583163155
"240",0.19,0.3,2.77758356815645e-20,2.22206685453006e-20,5.69976913382304e-05,5.69976913383554e-05
"241",0.19,0.4,0.00848806039063332,476.343755490053,4.27226257796694e-06,0.256488222240819
"242",0.19,0.5,0.0958394347124345,1555.94203517894,2.09954359639397e-05,0.381287728415327
"243",0.19,0.6,0.781850354235727,2779.73770746685,0.000103786737885515,0.419946309531494
"244",0.19,0.7,5.46101458678527,4108.2340212105,0.000509897245448457,0.440328409453181
"245",0.19,0.8,33.6909804408292,5609.55268602607,0.00240055748629349,0.462561167362437
"246",0.19,0.9,166.338687330678,7399.68930499484,0.00952887660306616,0.493672674804831
"247",0.19,1,633.891400124432,9632.90390152787,0.0302873164892389,0.538336799271938
"248",0.2,0.2,1.37514508014905e-25,1.10011606411924e-25,2.77427845968155e-05,2.77427845968155e-05
"249",0.2,1.1,984.470866701978,11589.8968472403,0.0403291348052963,0.556675408047426
"250",0.2,1.2,2554.57907527877,14576.4387070659,0.0912427150217669,0.613836441351953
"251",0.2,1.3,5306.00108339413,18062.6801027279,0.167902860351073,0.676248507171601
"252",0.2,1.4,9324.24849794229,21976.4121372407,0.265415728909797,0.740115492681348
"253",0.2,1.5,14600.8613703224,26130.4830115727,0.376580150283939,0.8006923979756
"254",0.2,1.6,21053.1940114425,30275.1724871183,0.497284926825479,0.850056586661045
"255",0.2,1.7,28110.1591347027,34263.402596485,0.611683193049763,0.888321715850023
"256",0.2,1.8,34834.7218937256,38076.7147987415,0.703700275508774,0.916801142596369
"257",0.2,1.9,40972.5298741767,41732.695825213,0.771169097261075,0.938325213859422
"258",0.2,2,46624.5623561427,45252.9161790322,0.822788724527197,0.953996174114629
"259",0.2,0.3,1.35194778633904e-20,1.0815582290746e-20,2.77427845968652e-05,2.77427845969512e-05
"260",0.2,0.4,0.00394116094609878,469.099195848598,1.9836892822232e-06,0.252587375001954
"261",0.2,0.5,0.0423340840170881,1546.83734051199,9.27407963892653e-06,0.379056598804462
"262",0.2,0.6,0.336016614714704,2760.60870402859,4.46045309407876e-05,0.417056412985739
"263",0.2,0.7,2.27927325045051,4059.1997176097,0.000212816708975907,0.43507281865633
"264",0.2,0.8,13.9637375571645,5492.19569521127,0.00099494743966744,0.452883963188089
"265",0.2,0.9,73.2298364280768,7142.39281310842,0.00419504377594765,0.476507055799486
"266",0.2,1,301.542986899918,9131.20369576189,0.0144077169646969,0.510299180945517
"267",0.21,0.2,6.61862885208691e-26,5.29490308166953e-26,1.3352714358678e-05,1.33527143586779e-05
"268",0.21,1.1,487.641627542267,10945.3436962651,0.0199763808143035,0.525716816003286
"269",0.21,1.2,1396.21314991979,13595.5702830427,0.0498689900737846,0.572530550733757
"270",0.21,1.3,3239.94623982843,16729.316863712,0.10252471352737,0.626328733651069
"271",0.21,1.4,6207.57885372095,20310.2368483004,0.176699394765056,0.684002504939466
"272",0.21,1.5,10351.729896511,24262.2372751341,0.266988083870889,0.743445459292751
"273",0.21,1.6,15656.2981206929,28406.0462161627,0.369808070978452,0.797575858480122
"274",0.21,1.7,22060.624393143,32527.7846216345,0.480043997787632,0.843323641501228
"275",0.21,1.8,29085.5859352368,36504.8016281156,0.587561310189385,0.878953029950376
"276",0.21,1.9,35880.7797938197,40321.0207299013,0.675334148210914,0.906584864727505
"277",0.21,2,42124.0218828377,43991.5243986606,0.743367197147953,0.927404231889882
"278",0.21,0.3,6.50697933938024e-21,5.20558347152748e-21,1.33527143587043e-05,1.33527143587639e-05
"279",0.21,0.4,0.00184472515087455,462.470878439881,9.28498369004621e-07,0.249018344592684
"280",0.21,0.5,0.0188469706133052,1538.90550714237,4.12878441753334e-06,0.377112881969713
"281",0.21,0.6,0.145437748221147,2745.10814592065,1.93061362337591e-05,0.414714680470609
"282",0.21,0.7,0.965255542076671,4021.22829183236,9.01263188803316e-05,0.431002968343304
"283",0.21,0.8,5.77092621642617,5405.15258942127,0.000411191361914199,0.445706428208273
