"","h","Disp","mpa_yield","mpa_prop_msy"
"76",0.17,1,11175.1154860332,0.62452360822277
"77",0.17,1.25,13161.2995006415,0.720945297248215
"78",0.17,1.5,14418.8216134713,0.789162007469705
"79",0.17,1.75,17258.121535934,0.889330283252896
"80",0.17,2,18319.1855608832,0.927000246028258
"81",0.18,0.25,3084.74542111495,0.183325362027207
"82",0.18,0.5,6092.76972772638,0.363503959551087
"83",0.18,0.75,7436.73246676791,0.437201740451479
"84",0.18,1,10305.9724013614,0.575951369664743
"85",0.18,1.25,12333.2873517286,0.675588722481867
"86",0.18,1.5,13745.7234223497,0.752322414473182
"87",0.18,1.75,16628.6375530055,0.856892270362829
"88",0.18,2,17802.6914510712,0.900864249682971
"89",0.01,0.25,3457.61803801333,0.205485053720086
"90",0.01,0.5,3497.05072993408,0.208639394542886
"91",0.01,0.75,3522.65956757846,0.207095374325427
"92",0.01,1,3497.1710331325,0.195440116472508
"93",0.01,1.25,3488.71298138289,0.191103562171365
"94",0.01,1.5,3503.87922657482,0.191772146053306
"95",0.01,1.75,3479.35612117075,0.179295108006725
"96",0.01,2,3479.27017816641,0.176060464065933
"97",0.19,0.25,2692.34512443641,0.160005147024772
"98",0.19,0.5,5549.58465339864,0.331096707330697
"99",0.19,0.75,7017.72091663553,0.412568263342309
"100",0.19,1,9632.90390152787,0.538336799271938
"101",0.19,1.25,11655.9781474121,0.638487303612772
"102",0.19,1.5,13173.7436547003,0.721017172354885
"103",0.19,1.75,16022.2671050282,0.825645323750881
"104",0.19,2,17282.6811403137,0.874550324077089
"105",0.2,0.25,2454.08194420027,0.145845247969388
"106",0.2,0.5,5111.7565926203,0.304975215659799
"107",0.2,0.75,6717.78552360014,0.394935213283825
"108",0.2,1,9131.20369576189,0.510299180945517
"109",0.2,1.25,11119.8054921513,0.609117015800043
"110",0.2,1.5,12692.9337358405,0.694701781891614
"111",0.2,1.75,15462.7114429797,0.796810795358598
"112",0.2,2,16779.6414598103,0.849095158177992
"113",0.21,0.25,2304.47331732502,0.136954058603627
"114",0.21,0.5,4747.50378208087,0.283243335935846
"115",0.21,0.75,6497.2363059225,0.381969236323546
"116",0.21,1,8764.36403863525,0.489798271886075
"117",0.21,1.25,10702.3314113475,0.586248759115827
"118",0.21,1.5,12287.878280537,0.67253253777355
"119",0.21,1.75,14962.737572229,0.771046583235746
"120",0.21,2,16307.3685167905,0.825196872257101
"121",0.22,0.25,2204.62727811478,0.131020242749681
"122",0.22,0.5,4456.44259745245,0.265878180544762
"123",0.22,0.75,6330.75315228398,0.372181775923179
"124",0.22,1,8495.55413561808,0.47477577562927
"125",0.22,1.25,10377.3840450436,0.568448900098974
"126",0.22,1.5,11943.7621364528,0.653698586265717
"127",0.22,1.75,14525.5497831816,0.748517808046704
"128",0.22,2,15873.4819643509,0.803241041332024
"129",0.23,0.25,2133.42848501086,0.126788922903209
"130",0.23,0.5,4243.15823884698,0.253153309537314
"131",0.23,0.75,6202.18732535373,0.364623455982578
"132",0.23,1,8295.05476858682,0.463570827608711
"133",0.23,1.25,10121.963634691,0.554457565606819
"134",0.23,1.5,11649.0251982561,0.637567226848282
"135",0.23,1.75,14148.0591440018,0.72906529368307
"136",0.23,2,15480.6572326099,0.783363049389661
"137",0.24,0.25,2079.67321166965,0.123594265451514
"138",0.24,0.5,4094.64382951155,0.244292712755173
"139",0.24,0.75,6101.09147840682,0.358680082271729
"140",0.24,1,8141.38671066425,0.454983056849444
