"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"34",34,20432.1781285868,1960.94855701031,17645.3580309973,23349.2860736674,20432.1781285868,1960.94855701031,17645.3580309973,23349.2860736674
"35",35,20408.4448351624,2015.67580387257,17465.3146803299,23488.4356728872,20408.4448351624,2015.67580387257,17465.3146803299,23488.4356728872
"36",36,20587.0233104308,2066.94014203981,17388.4138308483,23632.0647423226,20587.0233104308,2066.94014203981,17388.4138308483,23632.0647423226
"37",37,20737.1741311369,2071.8311635435,17296.9335588344,23505.5995407224,20737.1741311369,2071.8311635435,17296.9335588344,23505.5995407224
"38",38,20662.6889738897,1776.88734695377,17875.334145954,23115.5181412228,20662.6889738897,1776.88734695377,17875.334145954,23115.5181412228
"39",39,20407.9178424584,1550.87062760489,18284.1761265035,22753.096209493,20407.9178424584,1550.87062760489,18284.1761265035,22753.096209493
"40",40,20315.0692855786,1530.17678442311,17864.5782729883,22255.3672378449,20315.0692855786,1530.17678442311,17864.5782729883,22255.3672378449
"41",41,20258.8074742356,1693.99392890864,17462.5019033907,21931.0960046525,20258.8074742356,1693.99392890864,17462.5019033907,21931.0960046525
"42",42,20126.9883813797,1891.3560543364,16882.7577725037,22313.9663770914,20126.9883813797,1891.3560543364,16882.7577725037,22313.9663770914
"43",43,19906.3327546462,2055.38583086066,16533.6463769244,22523.7728953159,19906.3327546462,2055.38583086066,16533.6463769244,22523.7728953159
"44",44,19794.2590839625,2028.59435777125,16702.3045769052,22452.7044360809,19794.2590839625,2028.59435777125,16702.3045769052,22452.7044360809
"45",45,19770.5593342152,1889.27532007176,17217.0140608602,22149.8589874192,19770.5593342152,1889.27532007176,17217.0140608602,22149.8589874192
"46",46,19806.8670611862,1766.81406476307,17686.9073279575,22038.1250814492,19806.8670611862,1766.81406476307,17686.9073279575,22038.1250814492
"47",47,19934.6441275028,1686.70069619154,17486.068035117,22124.5494827814,19934.6441275028,1686.70069619154,17486.068035117,22124.5494827814
"48",48,20143.4912243075,1748.62811450471,17209.378766143,22436.8720540494,20143.4912243075,1748.62811450471,17209.378766143,22436.8720540494
"49",49,20264.3620118913,1904.04709931451,16904.5754979889,22600.5535850686,20264.3620118913,1904.04709931451,16904.5754979889,22600.5535850686
"50",50,20202.1802827256,1945.90418206947,17014.7142865326,22564.9984347285,20202.1802827256,1945.90418206947,17014.7142865326,22564.9984347285
"51",51,20093.2289174134,2014.08110892532,16873.4862184778,22777.9341089807,20093.2289174134,2014.08110892532,16873.4862184778,22777.9341089807
"52",52,20078.6720429599,2077.58874898093,16614.1344876062,22867.4574531678,20078.6720429599,2077.58874898093,16614.1344876062,22867.4574531678
"53",53,20109.3743872333,2041.24301998847,16725.5136003127,22910.0007026169,20109.3743872333,2041.24301998847,16725.5136003127,22910.0007026169
"54",54,20131.5875048788,2098.0829305346,16669.2060776805,23125.6828701856,20131.5875048788,2098.0829305346,16669.2060776805,23125.6828701856
