"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"47",47,32238113.8991068,4034317.44957708,25651785.1900334,38169733.39729,32238113.8991068,4034317.44957708,25651785.1900334,38169733.39729
"48",48,30236281.9145145,7962910.36942229,15531821.5088791,39611247.1315479,30236281.9145145,7962910.36942229,15531821.5088791,39611247.1315479
"49",49,32257169.0471596,5502490.89405604,23690027.9448767,38746608.065106,32257169.0471596,5502490.89405604,23690027.9448767,38746608.065106
"50",50,31728261.3162564,8419167.44031352,17738329.5530202,39407921.7059893,31728261.3162564,8419167.44031352,17738329.5530202,39407921.7059893
"51",51,27911726.8113278,11086920.3765872,8529449.98657391,39381936.9911699,27911726.8113278,11086920.3765872,8529449.98657391,39381936.9911699
"52",52,30473038.1400997,9550361.29049909,12318527.6250828,38770425.2662786,30473038.1400997,9550361.29049909,12318527.6250828,38770425.2662786
"53",53,27722605.7153078,7950048.2924781,14183746.31225,37489124.5179263,27722605.7153078,7950048.2924781,14183746.31225,37489124.5179263
"54",54,29403592.5238211,8346738.28192786,16602491.2413716,38972060.6682706,29403592.5238211,8346738.28192786,16602491.2413716,38972060.6682706
"55",55,27474537.9045715,5767671.71619877,20180944.9893678,35727636.2163313,27474537.9045715,5767671.71619877,20180944.9893678,35727636.2163313
"56",56,29435058.5575413,8406198.43373898,15852938.0218464,38775215.9427686,29435058.5575413,8406198.43373898,15852938.0218464,38775215.9427686
"57",57,29589051.1532522,8376874.41613904,15410296.160998,38572701.8639664,29589051.1532522,8376874.41613904,15410296.160998,38572701.8639664
"58",58,30490831.0385408,7636512.34267707,15426494.4309045,38595138.9943315,30490831.0385408,7636512.34267707,15426494.4309045,38595138.9943315
"59",59,26293982.4147264,6474187.70689125,17965257.1389865,36827455.7697146,26293982.4147264,6474187.70689125,17965257.1389865,36827455.7697146
"60",60,30855090.1066177,6194976.09838246,20173420.3857188,38241288.8200165,30855090.1066177,6194976.09838246,20173420.3857188,38241288.8200165
"61",61,32140208.8785021,4590640.25767282,24512678.5732395,37957098.0741608,32140208.8785021,4590640.25767282,24512678.5732395,37957098.0741608
"62",62,24808245.5043497,8786018.69010514,13371554.7874887,36836879.3520052,24808245.5043497,8786018.69010514,13371554.7874887,36836879.3520052
"63",63,31004975.9655957,9215214.2624019,18002789.1704347,39490402.5283766,31004975.9655957,9215214.2624019,18002789.1704347,39490402.5283766
"64",64,28129227.928369,7410369.12665065,16945777.7705498,39249329.2539102,28129227.928369,7410369.12665065,16945777.7705498,39249329.2539102
"65",65,28576396.0397235,8822739.66157151,14721612.1533712,38411852.1211718,28576396.0397235,8822739.66157151,14721612.1533712,38411852.1211718
"66",66,28130027.5976144,8613269.12994893,13271783.17932,36613397.5079186,28130027.5976144,8613269.12994893,13271783.17932,36613397.5079186
"67",67,28247028.6033711,7183637.64840006,16191636.2902271,36951017.3000713,28247028.6033711,7183637.64840006,16191636.2902271,36951017.3000713
"68",68,31726083.2063188,7369054.06303242,19412875.192536,38509212.1737821,31726083.2063188,7369054.06303242,19412875.192536,38509212.1737821
"69",69,29633679.4795654,5918003.52093109,20635730.1467386,38327255.0131742,29633679.4795654,5918003.52093109,20635730.1467386,38327255.0131742
"70",70,28302127.4620155,12251617.2338963,9797124.83187114,39533384.2197987,28302127.4620155,12251617.2338963,9797124.83187114,39533384.2197987
"71",71,32409076.3138999,6321461.92121959,22659357.3202406,39346602.3041189,32409076.3138999,6321461.92121959,22659357.3202406,39346602.3041189
"72",72,28082800.2175709,6632327.37031722,17169599.011054,36783875.2663068,28082800.2175709,6632327.37031722,17169599.011054,36783875.2663068
"73",73,32928928.5383885,5707426.75659972,24463925.0183144,39538384.1807547,32928928.5383885,5707426.75659972,24463925.0183144,39538384.1807547
"74",74,26893504.4811806,8860015.56026393,13370865.3741094,38537305.7787924,26893504.4811806,8860015.56026393,13370865.3741094,38537305.7787924
"75",75,26211778.9499658,8383063.78486523,12898405.7010377,39070483.1528751,26211778.9499658,8383063.78486523,12898405.7010377,39070483.1528751
"76",76,30957516.6151451,4819254.26054221,23382486.6903422,37719910.8351716,30957516.6151451,4819254.26054221,23382486.6903422,37719910.8351716
"77",77,26996207.4259521,8418732.08779885,15560368.6420764,39387580.3916162,26996207.4259521,8418732.08779885,15560368.6420764,39387580.3916162
"78",78,28248335.1745051,7214631.23477627,19318131.0172903,38605864.4794109,28248335.1745051,7214631.23477627,19318131.0172903,38605864.4794109
"79",79,27434615.9003462,6083835.5381188,17542090.8370328,36828696.1288395,27434615.9003462,6083835.5381188,17542090.8370328,36828696.1288395
"80",80,30273534.8437991,8576301.76033727,15073617.2233447,38963988.1347777,30273534.8437991,8576301.76033727,15073617.2233447,38963988.1347777
"81",81,30924080.3959619,8895690.91020606,14212694.878171,38808796.8327291,30924080.3959619,8895690.91020606,14212694.878171,38808796.8327291
"82",82,28476766.6405444,7365305.16797779,16437557.2455872,37860577.0263032,28476766.6405444,7365305.16797779,16437557.2455872,37860577.0263032
"83",83,27642149.0689153,9763208.81422118,15911399.6491186,39231223.7223737,27642149.0689153,9763208.81422118,15911399.6491186,39231223.7223737
"84",84,30503049.2871127,5994154.5929257,21071330.6862749,38163293.8613575,30503049.2871127,5994154.5929257,21071330.6862749,38163293.8613575
"85",85,26304517.6980612,8917353.86097123,10820695.0282405,38060721.3114148,26304517.6980612,8917353.86097123,10820695.0282405,38060721.3114148
"86",86,29883822.1855683,6596025.13261001,18250373.2350536,37692297.3052714,29883822.1855683,6596025.13261001,18250373.2350536,37692297.3052714
"87",87,25918943.80426,10000614.6726986,13634872.4755378,39524760.2922353,25918943.80426,10000614.6726986,13634872.4755378,39524760.2922353
"88",88,26022360.5467014,6559867.40090969,19127338.0532552,36951305.827199,26022360.5467014,6559867.40090969,19127338.0532552,36951305.827199
"89",89,27633956.6499729,4109341.65385042,21893602.0666961,34285358.6947757,27633956.6499729,4109341.65385042,21893602.0666961,34285358.6947757
"90",90,32023693.523063,5329356.84526012,24011689.1399407,38149313.4192486,32023693.523063,5329356.84526012,24011689.1399407,38149313.4192486
"91",91,26609224.991706,8095837.36378643,16371571.0750465,38781137.0447965,26609224.991706,8095837.36378643,16371571.0750465,38781137.0447965
"92",92,26447131.0694786,8219084.5487315,15519287.2482929,37910613.1069462,26447131.0694786,8219084.5487315,15519287.2482929,37910613.1069462
"93",93,32165402.5367853,5169338.43072469,22759904.6372737,37493073.3949226,32165402.5367853,5169338.43072469,22759904.6372737,37493073.3949226
"94",94,32065665.0395978,8541157.28654972,16546081.2953183,39153212.2844366,32065665.0395978,8541157.28654972,16546081.2953183,39153212.2844366
"95",95,28073414.5441803,8933248.48431188,11145453.7059454,37858720.0826592,28073414.5441803,8933248.48431188,11145453.7059454,37858720.0826592
"96",96,29124860.7115267,7363357.42610455,19087814.2213583,38540226.2750027,29124860.7115267,7363357.42610455,19087814.2213583,38540226.2750027
"97",97,28651579.4586275,8117751.14112818,16860193.0662013,39497790.2777288,28651579.4586275,8117751.14112818,16860193.0662013,39497790.2777288
"98",98,28601117.91414,7765832.75893538,18228348.1733921,39242498.0039185,28601117.91414,7765832.75893538,18228348.1733921,39242498.0039185
"99",99,30478025.0030852,6982318.23171599,20685216.0694055,38893800.9629485,30478025.0030852,6982318.23171599,20685216.0694055,38893800.9629485
"100",100,22367690.7794334,7794164.02522967,12754981.913616,35778840.6114068,22367690.7794334,7794164.02522967,12754981.913616,35778840.6114068
"101",101,26215335.3792843,8596170.11205896,12045376.8813327,37137468.7801941,26215335.3792843,8596170.11205896,12045376.8813327,37137468.7801941
"102",102,31725915.3845953,8062866.60030502,17121467.2937811,38805231.518427,31725915.3845953,8062866.60030502,17121467.2937811,38805231.518427
"103",103,25157668.7986202,9739251.15408045,10136203.7749062,36936717.5955095,25157668.7986202,9739251.15408045,10136203.7749062,36936717.5955095
"104",104,30744012.6389578,7827235.00247843,17279599.5005238,38247351.4815307,30744012.6389578,7827235.00247843,17279599.5005238,38247351.4815307
"105",105,30324566.0419399,9294722.16094537,15898452.3407195,39193312.0351213,30324566.0419399,9294722.16094537,15898452.3407195,39193312.0351213
"106",106,28444851.7681831,7037518.97405039,17299907.6693658,38205165.7954756,28444851.7681831,7037518.97405039,17299907.6693658,38205165.7954756
"107",107,25738979.9805823,7489371.62319241,13901075.9421669,37340784.2659225,25738979.9805823,7489371.62319241,13901075.9421669,37340784.2659225
"108",108,26902854.4576851,8909240.08907734,14242509.9907121,38359721.8700091,26902854.4576851,8909240.08907734,14242509.9907121,38359721.8700091
"109",109,29511255.1449052,5935096.54958496,21403384.3655355,37467706.6462057,29511255.1449052,5935096.54958496,21403384.3655355,37467706.6462057
"110",110,29036484.5742991,7168733.65406679,19196087.1763259,39226826.6541765,29036484.5742991,7168733.65406679,19196087.1763259,39226826.6541765
"111",111,25221961.688863,9883924.73199189,10939264.1065009,38089263.254343,25221961.688863,9883924.73199189,10939264.1065009,38089263.254343
"112",112,30647847.9257022,7036115.67616448,17381812.8623039,38240058.913637,30647847.9257022,7036115.67616448,17381812.8623039,38240058.913637
"113",113,33099998.5362232,6338596.08901731,22424864.8102716,39163612.2171602,33099998.5362232,6338596.08901731,22424864.8102716,39163612.2171602
"114",114,30207677.9655306,7990269.17218967,16476054.8201215,38923385.4147159,30207677.9655306,7990269.17218967,16476054.8201215,38923385.4147159
"115",115,24528820.5836016,8707856.33118862,12232959.272311,37420662.9501792,24528820.5836016,8707856.33118862,12232959.272311,37420662.9501792
"116",116,28865769.700084,8030388.91538716,14607016.9026536,37354997.2555935,28865769.700084,8030388.91538716,14607016.9026536,37354997.2555935
"117",117,25490140.1479652,8822983.50445691,11894295.9725331,38258122.7861176,25490140.1479652,8822983.50445691,11894295.9725331,38258122.7861176
"118",118,30505264.2867568,7909889.29363187,17179039.5642041,38146956.2375249,30505264.2867568,7909889.29363187,17179039.5642041,38146956.2375249
"119",119,29355750.5572134,8259845.5324899,15038152.7253641,37171843.979683,29355750.5572134,8259845.5324899,15038152.7253641,37171843.979683
"120",120,31017862.1713237,6408162.42639249,20501072.2580031,38559861.7180598,31017862.1713237,6408162.42639249,20501072.2580031,38559861.7180598
"121",121,28608622.5623025,8229469.31477095,13559178.6642981,37384086.1403059,28608622.5623025,8229469.31477095,13559178.6642981,37384086.1403059
"122",122,29199673.6592542,7317473.05489758,19918888.2442619,38550248.9912931,29199673.6592542,7317473.05489758,19918888.2442619,38550248.9912931
"123",123,32714255.7879646,4848261.03751153,25947124.2446397,38763423.6698931,32714255.7879646,4848261.03751153,25947124.2446397,38763423.6698931
"124",124,25731216.143526,7158039.87044327,13912067.0138803,36362448.9735654,25731216.143526,7158039.87044327,13912067.0138803,36362448.9735654
