"","t","meanAbun","meanSSB","meanCatch","cumCatch","meanSizeExt","meanSizeSSBExt","meanFecExt","totalFecExt","meanSizeSurv","meanSizeSSBSurv","meanFecSurv","totalFecSurv","name","isAllee","resDens","fishDens","resDensExt","fishDensExt","resDensExtSD","fishDensExtSD","resDensExtQ025","fishDensExtQ025","resDensExtQ975","fishDensExtQ975","catchExt","resDensSurv","fishDensSurv","resDensSurvSD","fishDensSurvSD","resDensSurvQ025","fishDensSurvQ025","resDensSurvQ975","fishDensSurvQ975","catchSurv","cumCatchSurv","cumCatchExt","propExtinct","ssbDensity","catchHa"
"81",6,30924080.3959619,913554.299703673,18965.8819572352,133844.513431383,-1,-1,-1,-1,17.2415663965976,165.878565607508,47929.4388986131,296434764366.811,"Fert._0.775_NC",TRUE,NA,0.12180723996049,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.12180723996049,NA,0.0135093440604765,NA,0.100906296681495,NA,0.145783845916089,18965.8819572352,133844.513431383,-7,0,0.12180723996049,25.2878426096469
"82",7,28476766.6405444,914455.4850701,18939.2231707562,152783.73660214,-1,-1,-1,-1,18.1218148833067,165.204414128012,51828.6641944192,295182555111.123,"Fert._0.775_NC",TRUE,NA,0.121927398009347,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.121927398009347,NA,0.0115680574451594,NA,0.105454451941887,NA,0.142575119696667,18939.2231707562,152783.73660214,-8,0,0.121927398009347,25.2522975610083
"83",8,27642149.0689153,919287.17004877,18817.0585839315,171600.795186071,-1,-1,-1,-1,18.3999269799612,164.521578203816,53220.146779585,294223846150.168,"Fert._0.775_NC",TRUE,NA,0.122571622673169,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.122571622673169,NA,0.0108647178990895,NA,0.107916824368365,NA,0.1420768790229,18817.0585839315,171600.795186071,-9,0,0.122571622673169,25.089411445242
"84",9,30503049.2871127,922287.403667107,18714.6551589202,190315.450344991,-1,-1,-1,-1,17.3915392857775,164.581872581625,48219.4565365631,294168091866.514,"Fert._0.775_NC",TRUE,NA,0.122971653822281,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.122971653822281,NA,0.00983926675627482,NA,0.109782659298018,NA,0.140808495930082,18714.6551589202,190315.450344991,-10,0,0.122971653822281,24.9528735452269
"85",10,26304517.6980612,922701.184190243,18693.5317450558,209008.982090047,-1,-1,-1,-1,18.9439992506569,164.882240809738,56005.7926912059,294641073007.955,"Fert._0.775_NC",TRUE,NA,0.123026824558699,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.123026824558699,NA,0.00988691918385236,NA,0.108863632156157,NA,0.136531373008415,18693.5317450558,209008.982090047,-11,0,0.123026824558699,24.9247089934077
"86",11,29883822.1855683,924381.800597183,18814.4784686566,227823.460558704,-1,-1,-1,-1,17.5277900153265,164.71557928171,49333.2010800124,294852921783.996,"Fert._0.775_NC",TRUE,NA,0.123250906746291,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.123250906746291,NA,0.0100682722702824,NA,0.108593482733681,NA,0.136748300449174,18814.4784686566,227823.460558704,-12,0,0.123250906746291,25.0859712915422
"87",12,25918943.80426,919062.186707235,18893.8028475634,246717.263406267,-1,-1,-1,-1,19.0120347354658,165.317266921472,56871.4405359651,294809534263.798,"Fert._0.775_NC",TRUE,NA,0.122541624894298,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.122541624894298,NA,0.00946723244254104,NA,0.109662116238161,NA,0.136430983078961,18893.8028475634,246717.263406267,-13,0,0.122541624894298,25.1917371300845
"88",13,26022360.5467014,918043.998020842,18840.2581745944,265557.521580861,-1,-1,-1,-1,18.7970570766207,165.146651129929,56580.1258343816,294469686848.002,"Fert._0.775_NC",TRUE,NA,0.122405866402779,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.122405866402779,NA,0.00861366438458049,NA,0.109574671373321,NA,0.136396154003341,18840.2581745944,265557.521580861,-14,0,0.122405866402779,25.1203442327925
"89",14,27633956.6499729,909445.801749304,18820.4436547011,284377.965235563,-1,-1,-1,-1,18.0478829704724,165.853452858585,53176.9207223908,293897744404.319,"Fert._0.775_NC",TRUE,NA,0.121259440233241,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.121259440233241,NA,0.00926134053366009,NA,0.108754506578356,NA,0.138826827289973,18820.4436547011,284377.965235563,-15,0,0.121259440233241,25.0939248729348
"90",15,32023693.523063,900008.534346329,18791.9700019577,303169.93523752,-1,-1,-1,-1,16.6665821753146,166.321021342298,45737.8237044618,292938809744.714,"Fert._0.775_NC",TRUE,NA,0.120001137912844,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.120001137912844,NA,0.00989459121760352,NA,0.107911737092551,NA,0.140934164852942,18791.9700019577,303169.93523752,-16,0,0.120001137912844,25.0559600026102
