"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"42",42,1003281.92503283,68466.0118046739,940930.658263597,1085270.56017675,1003281.92503283,68466.0118046739,940930.658263597,1085270.56017675
"43",43,1018805.42981627,75844.3874621163,945625.570908363,1113256.22180734,1018805.42981627,75844.3874621163,945625.570908363,1113256.22180734
"44",44,1032012.13997254,83954.2218116732,935907.190937595,1137825.40477824,1032012.13997254,83954.2218116732,935907.190937595,1137825.40477824
"45",45,1047157.87734739,81565.8144053163,950172.844779427,1153972.09124104,1047157.87734739,81565.8144053163,950172.844779427,1153972.09124104
"46",46,1056162.1172761,69979.3457172366,960309.593919959,1134952.79750116,1056162.1172761,69979.3457172366,960309.593919959,1134952.79750116
"47",47,1069510.54296075,64173.9847094498,974363.838494671,1126445.73940088,1069510.54296075,64173.9847094498,974363.838494671,1126445.73940088
"48",48,1066150.49178453,68355.641401723,971968.529701395,1132763.73767222,1066150.49178453,68355.641401723,971968.529701395,1132763.73767222
"49",49,1062597.62517965,66062.3518789492,989594.948997616,1151292.65495684,1062597.62517965,66062.3518789492,989594.948997616,1151292.65495684
"50",50,1050210.27150198,69154.8894156397,1002118.61812325,1150538.505422,1050210.27150198,69154.8894156397,1002118.61812325,1150538.505422
"51",51,1039328.9590072,78528.4254405441,980890.255175296,1155102.13685554,1039328.9590072,78528.4254405441,980890.255175296,1155102.13685554
"52",52,1040782.54984716,80566.5882061654,970233.976214249,1159112.74062748,1040782.54984716,80566.5882061654,970233.976214249,1159112.74062748
"53",53,1042466.99112546,75574.5216694015,972724.509764888,1152223.39172261,1042466.99112546,75574.5216694015,972724.509764888,1152223.39172261
"54",54,1039708.3549685,47125.8513449368,995444.15770428,1109604.85997403,1039708.3549685,47125.8513449368,995444.15770428,1109604.85997403
"55",55,1045819.90110557,31828.7085567224,1017928.17546919,1092226.68974997,1045819.90110557,31828.7085567224,1017928.17546919,1092226.68974997
"56",56,1050709.20459461,26045.5294175209,1022225.97654222,1079920.62096439,1050709.20459461,26045.5294175209,1022225.97654222,1079920.62096439
"57",57,1045203.71416303,37620.0049513971,999557.732362096,1085926.55488553,1045203.71416303,37620.0049513971,999557.732362096,1085926.55488553
"58",58,1031963.14992857,41023.6083094897,988309.455203593,1074215.49796941,1031963.14992857,41023.6083094897,988309.455203593,1074215.49796941
"59",59,1007233.57218039,50884.338772003,966697.239148999,1068545.57098673,1007233.57218039,50884.338772003,966697.239148999,1068545.57098673
"60",60,997918.032191588,55233.6661812167,951544.023642602,1069998.4679749,997918.032191588,55233.6661812167,951544.023642602,1069998.4679749
"61",61,998724.328154832,61524.8366636866,939102.55628809,1080758.75843542,998724.328154832,61524.8366636866,939102.55628809,1080758.75843542
"62",62,1013628.80772469,61538.4498563011,946081.098340118,1096837.05837424,1013628.80772469,61538.4498563011,946081.098340118,1096837.05837424
"63",63,1026137.13601128,55250.2549423404,965138.834586772,1097705.07565434,1026137.13601128,55250.2549423404,965138.834586772,1097705.07565434
"64",64,1031612.60839674,51866.0676819597,968831.608317348,1085506.41339143,1031612.60839674,51866.0676819597,968831.608317348,1085506.41339143
"65",65,1021488.46649358,32426.4619034119,984544.378319902,1058733.87676587,1021488.46649358,32426.4619034119,984544.378319902,1058733.87676587
"66",66,1008505.94985892,54824.9073587107,946791.662380131,1077847.76638955,1008505.94985892,54824.9073587107,946791.662380131,1077847.76638955
"67",67,1001438.97490088,76885.0329366867,915263.291848077,1091751.50026435,1001438.97490088,76885.0329366867,915263.291848077,1091751.50026435
"68",68,999013.827701447,93171.8951366525,891107.371494066,1090886.01729162,999013.827701447,93171.8951366525,891107.371494066,1090886.01729162
"69",69,1003257.63931327,90562.3600837725,898027.614756988,1110530.03766455,1003257.63931327,90562.3600837725,898027.614756988,1110530.03766455
"70",70,989805.952661385,90022.442481299,878519.509617846,1107213.35335483,989805.952661385,90022.442481299,878519.509617846,1107213.35335483
"71",71,981278.621049682,88643.6002023381,879524.954187161,1103271.83482101,981278.621049682,88643.6002023381,879524.954187161,1103271.83482101
"72",72,974926.859967814,90406.0501436745,885846.795911419,1102320.02125921,974926.859967814,90406.0501436745,885846.795911419,1102320.02125921
"73",73,960729.240817919,94422.5198026111,869186.742567601,1085821.70473468,960729.240817919,94422.5198026111,869186.742567601,1085821.70473468
"74",74,941970.698234353,95850.5475653835,845202.101766413,1076327.52179805,941970.698234353,95850.5475653835,845202.101766413,1076327.52179805
"75",75,932558.972911383,86512.8053634376,851530.593007098,1061751.22857316,932558.972911383,86512.8053634376,851530.593007098,1061751.22857316
"76",76,935790.97832447,80170.5102011931,884069.606159233,1061245.70113655,935790.97832447,80170.5102011931,884069.606159233,1061245.70113655
"77",77,935371.422770799,85234.3771471227,878193.787347721,1068215.38429446,935371.422770799,85234.3771471227,878193.787347721,1068215.38429446
"78",78,921746.073062226,102130.398828196,855803.528404133,1080273.29209748,921746.073062226,102130.398828196,855803.528404133,1080273.29209748
"79",79,916141.078173274,114908.882687228,844577.798863436,1096064.76670485,916141.078173274,114908.882687228,844577.798863436,1096064.76670485
"80",80,917010.61285644,125633.993508378,827000.797869741,1111894.94607045,917010.61285644,125633.993508378,827000.797869741,1111894.94607045
"81",81,924803.419754934,132253.517477103,809530.320502747,1122989.50618353,924803.419754934,132253.517477103,809530.320502747,1122989.50618353
"82",82,934365.659417315,137002.388349424,817058.115476483,1137534.17954417,934365.659417315,137002.388349424,817058.115476483,1137534.17954417
"83",83,948531.798216568,143691.37867491,805288.899801246,1150326.90591372,948531.798216568,143691.37867491,805288.899801246,1150326.90591372
"84",84,971088.29745183,142274.06470523,822435.785464979,1166933.04688361,971088.29745183,142274.06470523,822435.785464979,1166933.04688361
"85",85,975228.031878309,150733.067560186,815274.65018337,1183005.88080064,975228.031878309,150733.067560186,815274.65018337,1183005.88080064
"86",86,967599.623217114,149480.494642777,839502.838764469,1187335.10664638,967599.623217114,149480.494642777,839502.838764469,1187335.10664638
"87",87,949474.48751724,140592.820787618,842674.422965356,1159363.38990584,949474.48751724,140592.820787618,842674.422965356,1159363.38990584
"88",88,937089.722850581,142984.985521402,806882.374065791,1146683.10169113,937089.722850581,142984.985521402,806882.374065791,1146683.10169113
"89",89,936085.781007621,138962.412809177,810688.090587741,1136908.66165213,936085.781007621,138962.412809177,810688.090587741,1136908.66165213
"90",90,928028.599370734,131589.434391206,811597.500068426,1113345.92315025,928028.599370734,131589.434391206,811597.500068426,1113345.92315025
"91",91,930771.852685965,129376.842801363,789245.463414736,1097499.24699303,930771.852685965,129376.842801363,789245.463414736,1097499.24699303
"92",92,928147.571063678,132522.543354743,770078.491126047,1085233.51361929,928147.571063678,132522.543354743,770078.491126047,1085233.51361929
"93",93,932887.263151025,127663.490043606,768346.52890861,1085176.82739437,932887.263151025,127663.490043606,768346.52890861,1085176.82739437
"94",94,948265.566301445,115698.615835027,797351.166574482,1086390.71620955,948265.566301445,115698.615835027,797351.166574482,1086390.71620955
"95",95,943019.04723644,114847.80520661,803188.807244913,1087013.34243562,943019.04723644,114847.80520661,803188.807244913,1087013.34243562
"96",96,931845.716021772,118525.155055657,807776.183289335,1087532.87981265,931845.716021772,118525.155055657,807776.183289335,1087532.87981265
"97",97,926138.780220758,126813.653540249,805793.117236583,1094186.15417239,926138.780220758,126813.653540249,805793.117236583,1094186.15417239
"98",98,927068.496096779,127279.980073737,796786.373078084,1082386.39774966,927068.496096779,127279.980073737,796786.373078084,1082386.39774966
"99",99,936885.095082552,114411.295471016,815737.609355319,1072302.88430089,936885.095082552,114411.295471016,815737.609355319,1072302.88430089
"100",100,944583.322997816,95258.8433899386,845555.822419934,1047543.40032358,944583.322997816,95258.8433899386,845555.822419934,1047543.40032358
"101",101,943711.653446423,69063.8562982414,856331.236105148,1022648.53063838,943711.653446423,69063.8562982414,856331.236105148,1022648.53063838
"102",102,950252.441267805,57173.0828948762,879808.756529271,1022437.84165848,950252.441267805,57173.0828948762,879808.756529271,1022437.84165848
"103",103,962504.101320773,51341.7495579475,911295.469710587,1029849.87193414,962504.101320773,51341.7495579475,911295.469710587,1029849.87193414
"104",104,980774.248309157,52002.2312608737,921138.383841562,1044701.36669328,980774.248309157,52002.2312608737,921138.383841562,1044701.36669328
"105",105,996801.444020214,51207.2883999382,934922.14589972,1044405.52547621,996801.444020214,51207.2883999382,934922.14589972,1044405.52547621
"106",106,1007225.20853778,59644.5533333079,941342.419826639,1066942.77401609,1007225.20853778,59644.5533333079,941342.419826639,1066942.77401609
"107",107,1014712.18034814,60518.8135724648,934204.116882496,1077656.51102023,1014712.18034814,60518.8135724648,934204.116882496,1077656.51102023
"108",108,1023766.18055288,62747.5103966823,942846.024118818,1096227.9473964,1023766.18055288,62747.5103966823,942846.024118818,1096227.9473964
"109",109,1026767.72921911,64387.8912402774,957282.715351512,1112362.39795081,1026767.72921911,64387.8912402774,957282.715351512,1112362.39795081
"110",110,1034026.90728977,63593.8858011745,977598.297081797,1126767.52392028,1034026.90728977,63593.8858011745,977598.297081797,1126767.52392028
"111",111,1047733.62566967,65000.1669135558,992240.855294551,1145307.25963557,1047733.62566967,65000.1669135558,992240.855294551,1145307.25963557
"112",112,1055221.80795413,69056.86805737,986793.470973571,1154529.30750496,1055221.80795413,69056.86805737,986793.470973571,1154529.30750496
"113",113,1068017.48847651,75165.8289851545,986975.268203248,1168290.63956644,1068017.48847651,75165.8289851545,986975.268203248,1168290.63956644
"114",114,1077128.26709994,81290.9918824869,986554.957448366,1178447.00076268,1077128.26709994,81290.9918824869,986554.957448366,1178447.00076268
"115",115,1093169.70609355,82263.3007325953,1005828.84530449,1191926.9042585,1093169.70609355,82263.3007325953,1005828.84530449,1191926.9042585
"116",116,1100691.88949504,82700.7912360886,1027038.87397135,1203277.3114371,1100691.88949504,82700.7912360886,1027038.87397135,1203277.3114371
"117",117,1101549.2172545,88724.6658494594,1026260.50887551,1213080.81663569,1101549.2172545,88724.6658494594,1026260.50887551,1213080.81663569
