"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"33",33,30092988.750774,9823411.92849438,18582877.9655513,39358715.3868587,30092988.750774,9823411.92849438,18582877.9655513,39358715.3868587
"34",34,27739087.3794053,6532623.29600396,23021217.3036077,37810651.3097376,27739087.3794053,6532623.29600396,23021217.3036077,37810651.3097376
"35",35,32650598.140094,8509019.81761869,20413748.0222103,39711636.5280536,32650598.140094,8509019.81761869,20413748.0222103,39711636.5280536
"36",36,28863237.1369658,9266541.075514,16899238.2638008,38622977.6827438,28863237.1369658,9266541.075514,16899238.2638008,38622977.6827438
"37",37,29721535.6609314,11135011.160323,15436540.3915858,38976643.6933685,29721535.6609314,11135011.160323,15436540.3915858,38976643.6933685
"38",38,30732368.967636,7461238.06422819,20675501.0011279,39094509.0551527,30732368.967636,7461238.06422819,20675501.0011279,39094509.0551527
"39",39,34683824.0876756,4307325.60733966,29949680.515871,39550626.3625822,34683824.0876756,4307325.60733966,29949680.515871,39550626.3625822
"40",40,34787397.2081048,4850993.14008594,27683826.7577695,39093811.9710145,34787397.2081048,4850993.14008594,27683826.7577695,39093811.9710145
"41",41,34065834.2782072,3085613.18294246,30343664.3821013,37789520.851662,34065834.2782072,3085613.18294246,30343664.3821013,37789520.851662
"42",42,32971204.2884948,7039565.22332748,22540419.8886029,39696765.042346,32971204.2884948,7039565.22332748,22540419.8886029,39696765.042346
"43",43,36258515.7398949,3698098.50196966,31568212.5306563,39855625.4541407,36258515.7398949,3698098.50196966,31568212.5306563,39855625.4541407
"44",44,32989730.5979901,7865053.83328731,21679895.3164562,39869194.767582,32989730.5979901,7865053.83328731,21679895.3164562,39869194.767582
"45",45,37418063.2876249,3057062.20334126,32631617.6181186,39265398.4292263,37418063.2876249,3057062.20334126,32631617.6181186,39265398.4292263
"46",46,28979769.8770414,10509936.002374,17639244.7013238,40071737.5818459,28979769.8770414,10509936.002374,17639244.7013238,40071737.5818459
"47",47,32698281.7426467,9380531.30346253,19874081.1439894,39938315.0957914,32698281.7426467,9380531.30346253,19874081.1439894,39938315.0957914
"48",48,30458188.4643485,5217212.17172184,25375816.4823991,37177449.3682288,30458188.4643485,5217212.17172184,25375816.4823991,37177449.3682288
"49",49,30596921.7657967,9580712.033453,16116678.7281198,38940455.8803287,30596921.7657967,9580712.033453,16116678.7281198,38940455.8803287
"50",50,36462119.8184231,4588550.83437089,29648878.3725702,39752376.0749019,36462119.8184231,4588550.83437089,29648878.3725702,39752376.0749019
"51",51,33388995.1060163,4784036.69813425,26345545.8827482,38176138.2899504,33388995.1060163,4784036.69813425,26345545.8827482,38176138.2899504
"52",52,29057864.6725288,11332670.576932,16715833.7879932,39423862.4131338,29057864.6725288,11332670.576932,16715833.7879932,39423862.4131338
"53",53,36237520.982406,2028112.91203318,33160352.5792672,37837848.8801949,36237520.982406,2028112.91203318,33160352.5792672,37837848.8801949
"54",54,34987577.388753,1675765.35844417,32703061.5831639,36522793.3918807,34987577.388753,1675765.35844417,32703061.5831639,36522793.3918807
"55",55,28539530.3069794,7180782.92282578,19546742.9905909,35306901.9352396,28539530.3069794,7180782.92282578,19546742.9905909,35306901.9352396
"56",56,28901884.2365895,5879045.57190717,21876198.9817177,36658792.7393173,28901884.2365895,5879045.57190717,21876198.9817177,36658792.7393173
"57",57,25138420.2133542,9750945.3230835,10922369.834192,32967240.8313474,25138420.2133542,9750945.3230835,10922369.834192,32967240.8313474
"58",58,34187404.5715699,2959678.37787815,30903945.2811863,37908959.0160763,34187404.5715699,2959678.37787815,30903945.2811863,37908959.0160763
"59",59,34354624.8806198,5721547.69442735,25675258.161861,38977066.2758258,34354624.8806198,5721547.69442735,25675258.161861,38977066.2758258
"60",60,36015635.9203777,2793619.71783356,32985673.4177968,38551532.2383733,36015635.9203777,2793619.71783356,32985673.4177968,38551532.2383733
