"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"43",43,964924.153581604,97899.8895614181,836992.723826685,1091363.96727939,964924.153581604,97899.8895614181,836992.723826685,1091363.96727939
"44",44,974214.790706883,92616.9982638,826633.480733642,1094381.78965338,974214.790706883,92616.9982638,826633.480733642,1094381.78965338
"45",45,986458.756463145,96685.2160656103,812696.393209698,1106250.60051929,986458.756463145,96685.2160656103,812696.393209698,1106250.60051929
"46",46,992703.320811744,101674.162448831,806299.415907665,1109969.63164943,992703.320811744,101674.162448831,806299.415907665,1109969.63164943
"47",47,992589.015755778,103038.654974257,812848.23245087,1116235.88176837,992589.015755778,103038.654974257,812848.23245087,1116235.88176837
"48",48,988830.330263677,110002.628134321,791672.31272769,1124438.68145378,988830.330263677,110002.628134321,791672.31272769,1124438.68145378
"49",49,987648.637011637,106542.288390196,806473.525236457,1126893.61402031,987648.637011637,106542.288390196,806473.525236457,1126893.61402031
"50",50,985531.281615973,110678.816451648,794652.972040568,1137604.22207144,985531.281615973,110678.816451648,794652.972040568,1137604.22207144
"51",51,988394.65922342,106951.465707422,812475.01964579,1140396.06098753,988394.65922342,106951.465707422,812475.01964579,1140396.06098753
"52",52,990333.829183207,90813.523327681,840806.603425918,1110265.33454983,990333.829183207,90813.523327681,840806.603425918,1110265.33454983
"53",53,985248.489853138,81288.8155899203,843012.815713827,1089059.27402791,985248.489853138,81288.8155899203,843012.815713827,1089059.27402791
"54",54,980300.47838529,81366.1615565088,855418.143534847,1075143.41085236,980300.47838529,81366.1615565088,855418.143534847,1075143.41085236
"55",55,969185.912135384,82084.6270457175,863075.229598327,1072247.29483549,969185.912135384,82084.6270457175,863075.229598327,1072247.29483549
"56",56,960379.465144384,86603.1657059593,850178.370062283,1082142.32359424,960379.465144384,86603.1657059593,850178.370062283,1082142.32359424
"57",57,948794.799010448,85678.5482471234,847670.456601594,1080164.44241615,948794.799010448,85678.5482471234,847670.456601594,1080164.44241615
"58",58,942087.885029919,89769.4392427276,827318.100814917,1081441.21827447,942087.885029919,89769.4392427276,827318.100814917,1081441.21827447
"59",59,938259.551893772,89467.8399012952,828191.231850261,1078986.48129236,938259.551893772,89467.8399012952,828191.231850261,1078986.48129236
"60",60,938235.093158813,93243.3792387901,830255.835398555,1076859.05595634,938235.093158813,93243.3792387901,830255.835398555,1076859.05595634
"61",61,932819.205334016,86351.943182221,826896.883084579,1066614.85141102,932819.205334016,86351.943182221,826896.883084579,1066614.85141102
"62",62,934441.352321183,82328.8111691954,816233.556562447,1060075.50813587,934441.352321183,82328.8111691954,816233.556562447,1060075.50813587
"63",63,938486.761749962,72825.0462255304,825804.702747129,1034816.97433747,938486.761749962,72825.0462255304,825804.702747129,1034816.97433747
"64",64,932937.875661983,68838.9057254273,825559.272484811,1021992.76806228,932937.875661983,68838.9057254273,825559.272484811,1021992.76806228
"65",65,934022.904756963,74666.7729896285,835236.876002512,1040871.88854823,934022.904756963,74666.7729896285,835236.876002512,1040871.88854823
"66",66,929381.24037424,87475.4570510557,822028.006550742,1051771.82716715,929381.24037424,87475.4570510557,822028.006550742,1051771.82716715
"67",67,926581.280249819,90583.5481994436,780763.6247381,1036194.01100967,926581.280249819,90583.5481994436,780763.6247381,1036194.01100967
"68",68,922099.423678884,94003.8436351584,753987.140598711,1032127.73460536,922099.423678884,94003.8436351584,753987.140598711,1032127.73460536
"69",69,919215.83821634,87652.2908759599,755510.615114487,1020545.63229514,919215.83821634,87652.2908759599,755510.615114487,1020545.63229514
"70",70,923700.045085854,73302.9447479318,784822.169603113,1004813.75632253,923700.045085854,73302.9447479318,784822.169603113,1004813.75632253
"71",71,927392.220316752,63300.5085880354,823304.704829379,1006528.55890538,927392.220316752,63300.5085880354,823304.704829379,1006528.55890538
"72",72,930500.637921935,61383.0261816188,845274.192495531,1013057.35545711,930500.637921935,61383.0261816188,845274.192495531,1013057.35545711
"73",73,938253.717102992,66607.2473199257,823622.238280155,1023428.05007532,938253.717102992,66607.2473199257,823622.238280155,1023428.05007532
"74",74,940062.827255224,69183.3540606885,816421.612151288,1012889.41654938,940062.827255224,69183.3540606885,816421.612151288,1012889.41654938
"75",75,948562.594522958,70059.8755137297,819414.825204144,1030815.61780058,948562.594522958,70059.8755137297,819414.825204144,1030815.61780058
"76",76,945093.018527807,75478.0334484283,804479.131865192,1052600.43100266,945093.018527807,75478.0334484283,804479.131865192,1052600.43100266
"77",77,937662.968489622,84441.4448812454,794393.674592719,1079544.5817656,937662.968489622,84441.4448812454,794393.674592719,1079544.5817656
"78",78,933540.512207417,91401.4692869963,787664.267370095,1090091.95357318,933540.512207417,91401.4692869963,787664.267370095,1090091.95357318
"79",79,924986.703584096,104321.517200783,769748.426500584,1097297.35077537,924986.703584096,104321.517200783,769748.426500584,1097297.35077537
"80",80,919793.852345653,111243.352292316,766257.561788547,1102227.76805803,919793.852345653,111243.352292316,766257.561788547,1102227.76805803
"81",81,913554.299703673,106765.136132142,772906.740870496,1089108.32644536,913554.299703673,106765.136132142,772906.740870496,1089108.32644536
"82",82,914455.4850701,91423.0344854592,802057.249890918,1064365.06112311,914455.4850701,91423.0344854592,802057.249890918,1064365.06112311
"83",83,919287.17004877,85864.5009217932,812464.014897647,1056264.2796628,919287.17004877,85864.5009217932,812464.014897647,1056264.2796628
"84",84,922287.403667107,77760.3005720681,824296.426333105,1042301.31358509,922287.403667107,77760.3005720681,824296.426333105,1042301.31358509
"85",85,922701.184190243,78136.9004939124,818789.082845095,1022061.18376233,922701.184190243,78136.9004939124,818789.082845095,1022061.18376233
"86",86,924381.800597183,79570.1445414402,816144.694601699,1024099.43934531,924381.800597183,79570.1445414402,816144.694601699,1024099.43934531
"87",87,919062.186707235,74820.0916341803,822603.99322037,1020264.09049512,919062.186707235,74820.0916341803,822603.99322037,1020264.09049512
"88",88,918043.998020842,68074.2933557263,826531.202056419,1014851.40804611,918043.998020842,68074.2933557263,826531.202056419,1014851.40804611
"89",89,909445.801749304,73192.9158378,820038.679123785,1034258.14938779,909445.801749304,73192.9158378,820038.679123785,1034258.14938779
"90",90,900008.534346329,78197.533025306,812694.302768111,1045012.19459655,900008.534346329,78197.533025306,812694.302768111,1045012.19459655
"91",91,893070.738963443,81187.5486138298,805414.724471547,1044374.58457669,893070.738963443,81187.5486138298,805414.724471547,1044374.58457669
"92",92,896775.545763639,83749.5746570839,809917.542666891,1049368.65413759,896775.545763639,83749.5746570839,809917.542666891,1049368.65413759
"93",93,896271.8158624,83543.090911336,799497.68955236,1032944.56777611,896271.8158624,83543.090911336,799497.68955236,1032944.56777611
"94",94,895959.058242878,72342.7831830456,791433.310054976,997014.423519506,895959.058242878,72342.7831830456,791433.310054976,997014.423519506
"95",95,903988.553581922,75326.4965714475,771331.795007549,992343.046269617,903988.553581922,75326.4965714475,771331.795007549,992343.046269617
"96",96,915368.47609701,86261.3834536749,748079.309099492,1006152.86259298,915368.47609701,86261.3834536749,748079.309099492,1006152.86259298
"97",97,922695.612616028,91513.8593998638,744117.690343554,1025082.85840967,922695.612616028,91513.8593998638,744117.690343554,1025082.85840967
"98",98,927943.769873579,98382.0664290474,745382.731344599,1052419.68983883,927943.769873579,98382.0664290474,745382.731344599,1052419.68983883
"99",99,928194.130896349,102526.833261015,760689.965602863,1069561.25458311,928194.130896349,102526.833261015,760689.965602863,1069561.25458311
"100",100,926716.851318793,104451.367651006,772702.766932413,1080951.67092173,926716.851318793,104451.367651006,772702.766932413,1080951.67092173
"101",101,926215.448659275,112965.918227603,764196.692710943,1095052.28522556,926215.448659275,112965.918227603,764196.692710943,1095052.28522556
"102",102,911330.952807867,117604.409909617,735523.134793886,1079975.90311737,911330.952807867,117604.409909617,735523.134793886,1079975.90311737
"103",103,899405.16963023,122243.470296001,703713.869375606,1065046.34744441,899405.16963023,122243.470296001,703713.869375606,1065046.34744441
"104",104,895739.627433395,121010.873126537,680798.366839613,1032474.53877813,895739.627433395,121010.873126537,680798.366839613,1032474.53877813
"105",105,889034.524243254,116857.111249281,671765.569878671,991920.006185682,889034.524243254,116857.111249281,671765.569878671,991920.006185682
"106",106,894791.55119834,107618.114756749,691429.988243147,1009688.55796869,894791.55119834,107618.114756749,691429.988243147,1009688.55796869
"107",107,901781.376238221,101682.065554657,697944.438821965,1009058.78196907,901781.376238221,101682.065554657,697944.438821965,1009058.78196907
"108",108,907115.982196915,104262.382516587,699308.899502725,1008163.90964871,907115.982196915,104262.382516587,699308.899502725,1008163.90964871
"109",109,904040.0335993,111358.123627434,683574.666454857,1003535.53217241,904040.0335993,111358.123627434,683574.666454857,1003535.53217241
"110",110,898800.921665527,104393.92319751,700473.327802588,1013620.85906219,898800.921665527,104393.92319751,700473.327802588,1013620.85906219
"111",111,897252.696996556,100908.504146964,717347.910601498,1020667.19823372,897252.696996556,100908.504146964,717347.910601498,1020667.19823372
"112",112,897078.001737981,100944.102255905,726488.607815043,1044938.554889,897078.001737981,100944.102255905,726488.607815043,1044938.554889
"113",113,892976.334882922,114075.419786106,704341.621259788,1067203.63086224,892976.334882922,114075.419786106,704341.621259788,1067203.63086224
"114",114,897921.938853396,117799.314331375,702096.900946189,1069236.83800673,897921.938853396,117799.314331375,702096.900946189,1069236.83800673
"115",115,910095.050842844,120571.974185289,701125.587581913,1076004.3966124,910095.050842844,120571.974185289,701125.587581913,1076004.3966124
"116",116,920981.312969101,105453.302101348,742487.760455611,1063033.79039809,920981.312969101,105453.302101348,742487.760455611,1063033.79039809
"117",117,919837.238014439,91033.9131797414,781029.450347712,1053485.13177866,919837.238014439,91033.9131797414,781029.450347712,1053485.13177866
"118",118,917378.033857604,83661.8259379696,783095.26018531,1040968.80728414,917378.033857604,83661.8259379696,783095.26018531,1040968.80728414
"119",119,906367.538525566,69345.2789326302,793599.869288242,999441.200808432,906367.538525566,69345.2789326302,793599.869288242,999441.200808432
"120",120,904821.689415264,63470.1957305253,816634.595768775,986106.880652914,904821.689415264,63470.1957305253,816634.595768775,986106.880652914
"121",121,906039.947580341,52733.4047998929,831119.766279212,973076.066824125,906039.947580341,52733.4047998929,831119.766279212,973076.066824125
"122",122,914430.29225136,45332.0085611835,842083.586611175,971896.119323572,914430.29225136,45332.0085611835,842083.586611175,971896.119323572
"123",123,919478.253615909,48507.9566002007,840896.480617966,975865.421076651,919478.253615909,48507.9566002007,840896.480617966,975865.421076651
"124",124,924676.718321769,56045.5480366005,833096.664273613,984418.83710372,924676.718321769,56045.5480366005,833096.664273613,984418.83710372
"125",125,933499.138159767,59269.360760581,829064.423955571,998978.779819481,933499.138159767,59269.360760581,829064.423955571,998978.779819481
"126",126,931313.09022623,51147.9574684063,849558.620223909,1000744.59300305,931313.09022623,51147.9574684063,849558.620223909,1000744.59300305
"127",127,934691.017530849,42662.2256918061,886091.855847368,1012425.62241615,934691.017530849,42662.2256918061,886091.855847368,1012425.62241615
"128",128,936585.10894954,49475.9684099195,886040.077382597,1027678.77902247,936585.10894954,49475.9684099195,886040.077382597,1027678.77902247
"129",129,932612.591732647,71324.9052207776,839448.011757029,1029422.10343834,932612.591732647,71324.9052207776,839448.011757029,1029422.10343834
"130",130,925919.263983831,83376.2843885872,809922.335125957,1017727.31498468,925919.263983831,83376.2843885872,809922.335125957,1017727.31498468
"131",131,923224.433140452,93250.7132518279,781657.333838801,1020567.51046487,923224.433140452,93250.7132518279,781657.333838801,1020567.51046487
"132",132,922621.622148737,94503.4200469723,775640.638215354,1031460.5180853,922621.622148737,94503.4200469723,775640.638215354,1031460.5180853
"133",133,924633.711548163,81954.1882600164,798800.368441516,1021385.57992478,924633.711548163,81954.1882600164,798800.368441516,1021385.57992478
"134",134,924951.677406001,78169.2220587565,796996.150541775,1026490.01215904,924951.677406001,78169.2220587565,796996.150541775,1026490.01215904
"135",135,926775.497162294,78067.396635641,796581.583625469,1040877.80647113,926775.497162294,78067.396635641,796581.583625469,1040877.80647113
