"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"34",34,20205.8892485035,1623.06006525821,18324.3439132129,21789.0624529613,20205.8892485035,1623.06006525821,18324.3439132129,21789.0624529613
"35",35,20456.7384880812,1625.2160742968,18503.870780429,22098.1507798094,20456.7384880812,1625.2160742968,18503.870780429,22098.1507798094
"36",36,20934.5223487762,1578.33267445984,18900.4894335098,22537.6842722129,20934.5223487762,1578.33267445984,18900.4894335098,22537.6842722129
"37",37,21177.4324303292,1618.43275947384,18926.7394866609,22641.7854786305,21177.4324303292,1618.43275947384,18926.7394866609,22641.7854786305
"38",38,21023.2906690969,1501.41977697164,18743.6575257551,22016.9765279601,21023.2906690969,1501.41977697164,18743.6575257551,22016.9765279601
"39",39,20758.0233156521,922.886897349386,19369.7211482234,21599.1115092852,20758.0233156521,922.886897349386,19369.7211482234,21599.1115092852
"40",40,20566.0638117892,577.014181735689,20039.0200266812,21374.5391694279,20566.0638117892,577.014181735689,20039.0200266812,21374.5391694279
"41",41,20471.9255133638,638.279996798739,19705.2264201994,21272.8408830841,20471.9255133638,638.279996798739,19705.2264201994,21272.8408830841
"42",42,20290.0567962201,444.22062439864,19715.1297800829,20799.9537172685,20290.0567962201,444.22062439864,19715.1297800829,20799.9537172685
"43",43,20182.3689734472,575.375880558755,19572.2075995485,20905.4149964429,20182.3689734472,575.375880558755,19572.2075995485,20905.4149964429
"44",44,20272.5178326712,956.216502848249,19509.2005157616,21344.7863665461,20272.5178326712,956.216502848249,19509.2005157616,21344.7863665461
"45",45,20544.3468340812,1167.98445867142,19552.1150663153,21846.0049877111,20544.3468340812,1167.98445867142,19552.1150663153,21846.0049877111
"46",46,20800.0259317467,1247.55991199802,19527.8236804678,22253.0094867295,20800.0259317467,1247.55991199802,19527.8236804678,22253.0094867295
"47",47,20968.1907803058,1356.59842775843,19427.9867112687,22644.6988931875,20968.1907803058,1356.59842775843,19427.9867112687,22644.6988931875
"48",48,21161.8067653649,1457.83139414061,19384.0238087855,23021.0153848104,21161.8067653649,1457.83139414061,19384.0238087855,23021.0153848104
"49",49,21369.8571969029,1233.24897369502,19742.177565699,22831.1999918884,21369.8571969029,1233.24897369502,19742.177565699,22831.1999918884
"50",50,21558.2024854406,1100.86249898113,19939.1038012363,22434.6562123192,21558.2024854406,1100.86249898113,19939.1038012363,22434.6562123192
"51",51,21622.8151265054,1249.3645414715,19874.0479252452,22846.5716742675,21622.8151265054,1249.3645414715,19874.0479252452,22846.5716742675
"52",52,21449.6279535715,1351.76176263368,19923.5618600148,23207.4971256551,21449.6279535715,1351.76176263368,19923.5618600148,23207.4971256551
"53",53,21316.2638015629,1237.370235674,20410.6360759505,23199.8521686483,21316.2638015629,1237.370235674,20410.6360759505,23199.8521686483
"54",54,21139.8162832299,1317.0560618552,20198.5053660653,23110.2096844102,21139.8162832299,1317.0560618552,20198.5053660653,23110.2096844102
"55",55,21159.0093133076,1547.98579934401,19557.3460914754,23346.9724917325,21159.0093133076,1547.98579934401,19557.3460914754,23346.9724917325
"56",56,21330.9131942509,1500.80535691033,19684.8053829992,23413.2953019159,21330.9131942509,1500.80535691033,19684.8053829992,23413.2953019159
"57",57,21268.5814148912,1005.3232638479,20287.6041988527,22710.8783143718,21268.5814148912,1005.3232638479,20287.6041988527,22710.8783143718
"58",58,21230.7897926117,575.778192440319,20768.7140818956,22046.7899407568,21230.7897926117,575.778192440319,20768.7140818956,22046.7899407568
"59",59,21427.8008979658,545.185077515078,20960.6815630325,22150.3169037378,21427.8008979658,545.185077515078,20960.6815630325,22150.3169037378
"60",60,21391.9157552725,708.373376465927,20763.9942648814,22264.2186380195,21391.9157552725,708.373376465927,20763.9942648814,22264.2186380195
"61",61,21065.2705572872,906.179514331468,20141.5826986079,22134.4318266411,21065.2705572872,906.179514331468,20141.5826986079,22134.4318266411
"62",62,20631.6957733322,983.329787882544,19693.0550863775,21903.6922955544,20631.6957733322,983.329787882544,19693.0550863775,21903.6922955544
"63",63,20378.164572729,1133.86895032241,19295.8374764186,21894.5598479588,20378.164572729,1133.86895032241,19295.8374764186,21894.5598479588
"64",64,20541.3872401254,1155.59850353356,19518.935436051,22124.5111520377,20541.3872401254,1155.59850353356,19518.935436051,22124.5111520377
"65",65,20821.3666339231,1207.863219146,19454.3030324359,22431.9798426405,20821.3666339231,1207.863219146,19454.3030324359,22431.9798426405
"66",66,21042.3086281987,1073.47236102996,19834.2100658309,22467.4805174531,21042.3086281987,1073.47236102996,19834.2100658309,22467.4805174531
"67",67,21058.3175293397,965.738879520116,20017.5855120455,22139.2219782276,21058.3175293397,965.738879520116,20017.5855120455,22139.2219782276
"68",68,20853.6559037397,753.165387834508,19999.7649741546,21458.2874830682,20853.6559037397,753.165387834508,19999.7649741546,21458.2874830682
"69",69,20539.1747344699,835.100596599686,19585.0690534409,21648.8954206636,20539.1747344699,835.100596599686,19585.0690534409,21648.8954206636
"70",70,20430.6451919089,1382.73033686485,18771.2027567817,22021.7152080602,20430.6451919089,1382.73033686485,18771.2027567817,22021.7152080602
"71",71,20477.8236342521,1566.33409934309,18449.5641576726,22032.0608543655,20477.8236342521,1566.33409934309,18449.5641576726,22032.0608543655
"72",72,20558.9867581913,1505.42940084282,18626.9454601889,22244.0943577946,20558.9867581913,1505.42940084282,18626.9454601889,22244.0943577946
"73",73,20408.9269036037,1432.56338508869,18563.2647566005,22196.3081263447,20408.9269036037,1432.56338508869,18563.2647566005,22196.3081263447
"74",74,20042.5213291307,1554.03818745826,18095.7668679202,22040.8143444113,20042.5213291307,1554.03818745826,18095.7668679202,22040.8143444113
"75",75,19985.4211332387,1544.8150257494,18303.9323573113,22123.0941114304,19985.4211332387,1544.8150257494,18303.9323573113,22123.0941114304
"76",76,19872.8552400103,1650.06754879688,18259.7054630209,22034.8045355069,19872.8552400103,1650.06754879688,18259.7054630209,22034.8045355069
"77",77,19443.4437935719,1749.17435912493,17649.3474036536,21745.6732238937,19443.4437935719,1749.17435912493,17649.3474036536,21745.6732238937
"78",78,19152.601575455,1641.17717088975,17749.8680799559,21619.0969438737,19152.601575455,1641.17717088975,17749.8680799559,21619.0969438737
"79",79,19283.0737110608,1474.62127009751,18441.1555565331,21596.400841473,19283.0737110608,1474.62127009751,18441.1555565331,21596.400841473
"80",80,19412.9497777742,1540.23841535737,18390.3641289759,21814.5962755318,19412.9497777742,1540.23841535737,18390.3641289759,21814.5962755318
"81",81,19086.5438894787,1913.51925569171,17555.2822494969,22007.6604685171,19086.5438894787,1913.51925569171,17555.2822494969,22007.6604685171
"82",82,18735.8803197679,2205.91509927789,17422.724957443,22196.9517516795,18735.8803197679,2205.91509927789,17422.724957443,22196.9517516795
"83",83,18835.6881443606,2350.51758623006,17240.2645827509,22502.0893944677,18835.6881443606,2350.51758623006,17240.2645827509,22502.0893944677
"84",84,19049.9089169843,2400.85093250996,17160.5180518382,22729.3007005741,19049.9089169843,2400.85093250996,17160.5180518382,22729.3007005741
"85",85,19169.9563660944,2487.20696115652,17067.9327576561,22869.7303528981,19169.9563660944,2487.20696115652,17067.9327576561,22869.7303528981
"86",86,19300.2028010437,2617.48746668372,16990.195119761,23142.6774407494,19300.2028010437,2617.48746668372,16990.195119761,23142.6774407494
"87",87,19669.907711463,2695.64071820832,16903.5997328905,23458.2905974942,19669.907711463,2695.64071820832,16903.5997328905,23458.2905974942
"88",88,19910.1823790956,2756.52415651008,17039.4395923391,23794.9090170681,19910.1823790956,2756.52415651008,17039.4395923391,23794.9090170681
"89",89,19633.7078556951,2929.13198204526,17110.1106483345,23958.0750513076,19633.7078556951,2929.13198204526,17110.1106483345,23958.0750513076
"90",90,19246.2462209372,2818.12762262389,17105.7800945928,23522.3170063442,19246.2462209372,2818.12762262389,17105.7800945928,23522.3170063442
"91",91,19038.419555473,2641.44999834715,16788.3901603407,23011.5723747709,19038.419555473,2641.44999834715,16788.3901603407,23011.5723747709
"92",92,19137.0815110923,2724.80166580622,16915.3513444342,23152.2712566419,19137.0815110923,2724.80166580622,16915.3513444342,23152.2712566419
"93",93,19142.666452996,2676.75046839406,16845.448365767,22977.7622458507,19142.666452996,2676.75046839406,16845.448365767,22977.7622458507
"94",94,18999.7468468046,2563.88744320719,16290.9977720735,22444.2493453803,18999.7468468046,2563.88744320719,16290.9977720735,22444.2493453803
"95",95,19024.5058052637,2584.28049507022,16091.2347010794,22265.9206118045,19024.5058052637,2584.28049507022,16091.2347010794,22265.9206118045
"96",96,19050.4770294587,2580.93915392478,16026.6903951486,22332.4149183261,19050.4770294587,2580.93915392478,16026.6903951486,22332.4149183261
"97",97,19309.2137617295,2368.2961021172,16450.3617615595,22417.7489691512,19309.2137617295,2368.2961021172,16450.3617615595,22417.7489691512
"98",98,19390.525349564,2224.16649373947,16814.1236278649,22348.2093450692,19390.525349564,2224.16649373947,16814.1236278649,22348.2093450692
"99",99,18970.3382033097,2441.58099335197,16517.3623236298,22252.7902298295,18970.3382033097,2441.58099335197,16517.3623236298,22252.7902298295
"100",100,18785.5696769731,2644.49947223632,16331.8230205048,22350.3828585992,18785.5696769731,2644.49947223632,16331.8230205048,22350.3828585992
"101",101,18953.6836635481,2618.16369633568,16473.5617665674,22301.2457025908,18953.6836635481,2618.16369633568,16473.5617665674,22301.2457025908
"102",102,19162.7988338101,2328.9329171221,16882.9258498752,21922.9263801363,19162.7988338101,2328.9329171221,16882.9258498752,21922.9263801363
"103",103,19304.3684069853,1940.91986728876,17384.7944014328,21589.6701929647,19304.3684069853,1940.91986728876,17384.7944014328,21589.6701929647
"104",104,19237.1903234353,1498.05583578033,17575.4035274679,20843.2667390225,19237.1903234353,1498.05583578033,17575.4035274679,20843.2667390225
"105",105,19220.6975337282,1241.16358147781,17616.0750293846,20662.5532925361,19220.6975337282,1241.16358147781,17616.0750293846,20662.5532925361
"106",106,19522.3725469026,1071.69771239689,18287.4673340571,20833.3708623366,19522.3725469026,1071.69771239689,18287.4673340571,20833.3708623366
"107",107,19887.6941521849,925.385651266901,19090.2071538527,21166.8966250061,19887.6941521849,925.385651266901,19090.2071538527,21166.8966250061
"108",108,20160.11990331,867.582420285749,19249.8198381486,21222.2009892468,20160.11990331,867.582420285749,19249.8198381486,21222.2009892468
"109",109,20303.5021928153,1054.37389206213,18840.1579238701,21318.5648660145,20303.5021928153,1054.37389206213,18840.1579238701,21318.5648660145
"110",110,20407.7986513566,1200.70968280641,18652.9884906115,21568.5461377836,20407.7986513566,1200.70968280641,18652.9884906115,21568.5461377836
"111",111,20595.7650778752,1101.91977792982,18985.8607560366,21725.5575461446,20595.7650778752,1101.91977792982,18985.8607560366,21725.5575461446
